C_CUSTKEY,C_NAME,C_ADDRESS,C_CITY,C_NATION,C_REGION,C_PHONE,C_MKTSEGMENT
29,Customer#000000029, hVQNzLtqGpgUXNMY0wl,ALGERIA  1,ALGERIA,AFRICA,10-989-498-3304,FURNITURE
31,Customer#000000031,"g6qoPd,wIQrwUM3dq",UNITED KI0,UNITED KINGDOM,EUROPE,33-304-473-9497,HOUSEHOLD
32,Customer#000000032,InYu1tIr6EjN0nozdpf3hH,MOROCCO  9,MOROCCO,AFRICA,25-147-618-6671,BUILDING
34,Customer#000000034,bUkRv2UNDOtEycuW,MOROCCO  5,MOROCCO,AFRICA,25-807-330-7311,HOUSEHOLD
35,Customer#000000035,8mH4knWD,PERU     7,PERU,AMERICA,27-290-569-8258,HOUSEHOLD
37,Customer#000000037,Um5WbwJ0X8,INDIA    9,INDIA,ASIA,18-310-615-6464,FURNITURE
38,Customer#000000038,RVmMVNRVUSaS,JAPAN    7,JAPAN,ASIA,22-362-516-8846,HOUSEHOLD
40,Customer#000000040,LcDk4rtJ,CANADA   0,CANADA,AMERICA,13-458-289-3431,BUILDING
41,Customer#000000041,jeREsFtCuMqEwdvTFqT,IRAN     3,IRAN,MIDDLE EAST,20-202-854-3576,HOUSEHOLD
43,Customer#000000043,Dx8PHkGSFJWLg3XtkzCX,ROMANIA  6,ROMANIA,EUROPE,29-437-587-4267,MACHINERY
44,Customer#000000044,dI0Nc9bvnxXHCWu10bSV,MOZAMBIQU1,MOZAMBIQUE,AFRICA,26-695-253-2654,AUTOMOBILE
46,Customer#000000046,NQ7345E,FRANCE   9,FRANCE,EUROPE,16-783-400-4556,AUTOMOBILE
47,Customer#000000047,"Q,6KCP8Am4W",BRAZIL   6,BRAZIL,AMERICA,12-649-596-3329,BUILDING
49,Customer#000000049,PdKqM4TlA OLTjaeRmvH7Q,IRAN     4,IRAN,MIDDLE EAST,20-390-384-1482,FURNITURE
50,Customer#000000050,S8sn2GGsuput,FRANCE   4,FRANCE,EUROPE,16-818-389-2744,MACHINERY
52,Customer#000000052,"UracAlAA8tSHL5V,",IRAQ     9,IRAQ,MIDDLE EAST,21-915-435-1169,HOUSEHOLD
53,Customer#000000053,kDQujt7Ll72zSexpBht7,MOROCCO  5,MOROCCO,AFRICA,25-907-645-7902,HOUSEHOLD
55,Customer#000000055,ti9p9XgdmFsjsQI6XQrISDU,IRAN     3,IRAN,MIDDLE EAST,20-864-160-6213,MACHINERY
56,Customer#000000056,qh212iaG,IRAN     3,IRAN,MIDDLE EAST,20-126-880-5771,FURNITURE
58,Customer#000000058,LRQBToGZ8wSLO3m5HBe,JORDAN   0,JORDAN,MIDDLE EAST,23-624-679-2281,HOUSEHOLD
59,Customer#000000059,tfcob0wJRYdyp,ARGENTINA4,ARGENTINA,AMERICA,11-427-133-3965,MACHINERY
61,Customer#000000061,SGDNwNWmqhvJKXwNlrpL4 Tq,PERU     3,PERU,AMERICA,27-883-306-1109,FURNITURE
62,Customer#000000062,yBhgYoD,GERMANY  0,GERMANY,EUROPE,17-904-746-8576,MACHINERY
64,Customer#000000064,"fPoMk3Y,GQhg",CANADA   7,CANADA,AMERICA,13-921-592-2140,BUILDING
65,Customer#000000065,"ak7rtta,tWG,jR,cTSXflW6R",UNITED KI9,UNITED KINGDOM,EUROPE,33-786-676-9208,AUTOMOBILE
67,Customer#000000067,"ALk,OdKy V5Srui",INDONESIA3,INDONESIA,ASIA,19-503-832-8538,MACHINERY
70,Customer#000000070,FlCviyJDjHCYkHoJ22Qw,RUSSIA   1,RUSSIA,EUROPE,32-757-124-7724,FURNITURE
71,Customer#000000071,8FkQFLN34pFe50URKft43nti,GERMANY  7,GERMANY,EUROPE,17-899-598-1520,HOUSEHOLD
73,Customer#000000073,TiJiuAMxW6L,ALGERIA  8,ALGERIA,AFRICA,10-812-966-2399,BUILDING
74,Customer#000000074,jGhjorX17JmTAfT6gO ,EGYPT    4,EGYPT,MIDDLE EAST,14-131-962-5877,MACHINERY
76,Customer#000000076,FXzPoxHecjuQcCLk,ALGERIA  7,ALGERIA,AFRICA,10-728-518-9580,FURNITURE
77,Customer#000000077,XyqmVhNelkoWP,PERU     4,PERU,AMERICA,27-117-402-7946,BUILDING
79,Customer#000000079,EVJjYMyG59w4S,MOROCCO  0,MOROCCO,AFRICA,25-610-774-8986,MACHINERY
80,Customer#000000080,h0wy3CS,ALGERIA  6,ALGERIA,AFRICA,10-588-868-3463,FURNITURE
82,Customer#000000082,tJkXm2PQBWPRRYk,CHINA    4,CHINA,ASIA,28-413-987-2570,AUTOMOBILE
83,Customer#000000083,"kDJ7dqVuBD9lY,hqjW2",RUSSIA   7,RUSSIA,EUROPE,32-392-701-2286,BUILDING
85,Customer#000000085, I9M GnvICGJ29rT,ETHIOPIA 2,ETHIOPIA,AFRICA,15-369-711-6676,FURNITURE
86,Customer#000000086,78Umklj3P783bfR,ALGERIA  3,ALGERIA,AFRICA,10-233-293-2342,HOUSEHOLD
88,Customer#000000088,wyGHpeRMt mxmd8fEel,MOZAMBIQU2,MOZAMBIQUE,AFRICA,26-433-330-1654,AUTOMOBILE
89,Customer#000000089,Oy90ruRha47cUlC,KENYA    1,KENYA,AFRICA,24-550-120-2810,FURNITURE
91,Customer#000000091,9Sce2m BjvDdjQkqMx8Unr,INDIA    3,INDIA,ASIA,18-354-387-4231,AUTOMOBILE
94,Customer#000000094,jL5dieRgyG9OhRN7HgXb,INDONESIA5,INDONESIA,ASIA,19-378-539-5387,HOUSEHOLD
95,Customer#000000095,"n6,uwF4wcE76DVh1YsS",MOROCCO  6,MOROCCO,AFRICA,25-532-817-5775,MACHINERY
97,Customer#000000097,"dqBtMIPJhk1,",PERU     1,PERU,AMERICA,27-677-389-4428,AUTOMOBILE
98,Customer#000000098,UtIJM4d8Bxn,JAPAN    6,JAPAN,ASIA,22-828-685-6616,BUILDING
100,Customer#000000100,MBy6qq3O,SAUDI ARA5,SAUDI ARABIA,MIDDLE EAST,30-514-960-7127,FURNITURE
101,Customer#000000101, eEfYAdMjnG,BRAZIL   7,BRAZIL,AMERICA,12-942-154-3144,MACHINERY
103,Customer#000000103,Tgiza4WfhTbezHUo yl,INDONESIA8,INDONESIA,ASIA,19-257-935-5293,BUILDING
104,Customer#000000104,SEOogsfT y09vI2z P,IRAN     6,IRAN,MIDDLE EAST,20-786-781-9766,FURNITURE
106,Customer#000000106,vkocmr,ARGENTINA4,ARGENTINA,AMERICA,11-667-926-9924,MACHINERY
107,Customer#000000107,2vKUW710ATl9ACXtE,MOROCCO  9,MOROCCO,AFRICA,25-285-327-1393,AUTOMOBILE
109,Customer#000000109,dccG2qKoesLea36FGCOCg,MOZAMBIQU9,MOZAMBIQUE,AFRICA,26-100-971-8738,BUILDING
110,Customer#000000110,FtEbLLBJQ,IRAN     9,IRAN,MIDDLE EAST,20-919-160-2226,AUTOMOBILE
112,Customer#000000112,aOLKkYPcTaNo,ROMANIA  5,ROMANIA,EUROPE,29-465-287-4703,FURNITURE
113,Customer#000000113,NQcFV7p3iwO2VT LFQ,JAPAN    0,JAPAN,ASIA,22-910-431-2257,BUILDING
115,Customer#000000115,"05lyZj3mdE77YpKQzp,8K5g",INDIA    0,INDIA,ASIA,18-425-480-7104,HOUSEHOLD
116,Customer#000000116,uox5ujKz1X1Atg,MOZAMBIQU9,MOZAMBIQUE,AFRICA,26-733-888-7764,BUILDING
118,Customer#000000118,d5DlxktKgR,CHINA    0,CHINA,ASIA,28-571-246-2883,AUTOMOBILE
119,Customer#000000119,fZm7cjMOxwkSnye,GERMANY  9,GERMANY,EUROPE,17-477-568-8362,FURNITURE
121,Customer#000000121,zwrDoaY2gxCk,PERU     9,PERU,AMERICA,27-435-136-6680,BUILDING
122,Customer#000000122,uBVzFBCdNYVFqmd24X,CANADA   1,CANADA,AMERICA,13-415-665-1914,HOUSEHOLD
124,Customer#000000124,R7Pt5r4Vy,CHINA    7,CHINA,ASIA,28-441-973-1379,AUTOMOBILE
125,Customer#000000125,1v813O59ruviiLESzSi7uf,ROMANIA  8,ROMANIA,EUROPE,29-773-361-3587,FURNITURE
127,Customer#000000127,4tKMWo3Y 3hu3ttNZ1WTg,VIETNAM  0,VIETNAM,ASIA,31-892-217-5356,MACHINERY
128,Customer#000000128,rEg6eGhLYdaj,EGYPT    1,EGYPT,MIDDLE EAST,14-217-113-7074,HOUSEHOLD
130,Customer#000000130,"agbuYdL1t,6DrSvl41TlZ",INDONESIA5,INDONESIA,ASIA,19-105-763-6532,HOUSEHOLD
131,Customer#000000131,"ItdUFrHPZlzjZ, fo",IRAQ     7,IRAQ,MIDDLE EAST,21-360-220-3293,HOUSEHOLD
133,Customer#000000133,jeox3OBiwNH2cRYHKn,PERU     4,PERU,AMERICA,27-148-245-4127,AUTOMOBILE
134,Customer#000000134, 6I1TTaoG7bbiogC,IRAQ     7,IRAQ,MIDDLE EAST,21-727-586-9373,BUILDING
136,Customer#000000136,bCfzh0xVoZj,GERMANY  8,GERMANY,EUROPE,17-468-870-6161,FURNITURE
137,Customer#000000137,PN4RZCRY FrmjK,MOZAMBIQU8,MOZAMBIQUE,AFRICA,26-896-254-9400,HOUSEHOLD
139,Customer#000000139,"YmFwpwxNjgg,YTX",INDONESIA0,INDONESIA,ASIA,19-739-827-8411,MACHINERY
140,Customer#000000140,49AmbJgKOm8ii0,EGYPT    0,EGYPT,MIDDLE EAST,14-327-259-3924,MACHINERY
142,Customer#000000142,rDhVFvyfHIDoF YHJ,INDONESIA8,INDONESIA,ASIA,19-333-581-9047,AUTOMOBILE
143,Customer#000000143,VSZ YZxfWVZsAGrTp,MOZAMBIQU4,MOZAMBIQUE,AFRICA,26-861-895-7214,MACHINERY
145,Customer#000000145,HaHjEzYGOMPrOt,JORDAN   2,JORDAN,MIDDLE EAST,23-399-243-2270,HOUSEHOLD
146,Customer#000000146,lNuGN4kRxTJtiZ01,CANADA   4,CANADA,AMERICA,13-754-130-2526,FURNITURE
148,Customer#000000148,qJ8bFn4kwiit7,IRAQ     9,IRAQ,MIDDLE EAST,21-963-864-2882,HOUSEHOLD
151,Customer#000000151,gFtmyem37UHG,ROMANIA  6,ROMANIA,EUROPE,29-479-590-2369,HOUSEHOLD
152,Customer#000000152,cn FF9G8OggJWF,INDIA    6,INDIA,ASIA,18-393-400-6096,BUILDING
154,Customer#000000154,ZfqF6sLnjGdAP3H,ROMANIA  5,ROMANIA,EUROPE,29-862-121-8655,FURNITURE
155,Customer#000000155,G0z8BKI8ye,ALGERIA  7,ALGERIA,AFRICA,10-327-433-8396,AUTOMOBILE
157,Customer#000000157,kkmCxtoOl eNrDprNzo9Izeu,MOROCCO  6,MOROCCO,AFRICA,25-994-342-8080,BUILDING
160,Customer#000000160,WzC5aYNco,JORDAN   7,JORDAN,MIDDLE EAST,23-385-648-4498,MACHINERY
163,Customer#000000163,dK kOdDE,VIETNAM  3,VIETNAM,ASIA,31-292-622-9077,FURNITURE
164,Customer#000000164,3n4VZcp4f3,EGYPT    9,EGYPT,MIDDLE EAST,14-258-868-1537,HOUSEHOLD
166,Customer#000000166,",Vj4kzvCbTUmhLNSVjuyf",IRAN     3,IRAN,MIDDLE EAST,20-360-107-1333,FURNITURE
167,Customer#000000167,bdOYMdF9isgUHByKvKn,ETHIOPIA 8,ETHIOPIA,AFRICA,15-945-390-9938,AUTOMOBILE
169,Customer#000000169,eHJEjRT,CHINA    3,CHINA,ASIA,28-806-272-3736,FURNITURE
170,Customer#000000170,WaEuE3xPdJEUjqKgv7wB,MOROCCO  5,MOROCCO,AFRICA,25-546-227-2477,BUILDING
172,Customer#000000172,hvKNg7fZkY5QO,RUSSIA   9,RUSSIA,EUROPE,32-653-388-3521,MACHINERY
173,Customer#000000173,rxMTg6s0lIE8jBCxr5GVN,INDONESIA6,INDONESIA,ASIA,19-146-331-2592,BUILDING
175,Customer#000000175,T2gZ1u7AC2Yve4DnuFWIz,IRAN     2,IRAN,MIDDLE EAST,20-984-976-1818,FURNITURE
176,Customer#000000176,SJpMB3YxsSTjFoA8Cc,JORDAN   3,JORDAN,MIDDLE EAST,23-999-858-1929,FURNITURE
178,Customer#000000178,Crj68oKSoKRDWlHTn wOOsW,VIETNAM  4,VIETNAM,ASIA,31-875-217-9190,FURNITURE
179,Customer#000000179,"OHMsXp4K,DE",EGYPT    1,EGYPT,MIDDLE EAST,14-733-189-2355,MACHINERY
181,Customer#000000181,3dwI4Or4 9H1w8,INDONESIA2,INDONESIA,ASIA,19-489-594-9361,FURNITURE
182,Customer#000000182,zNvwKNBkXZVo,CANADA   3,CANADA,AMERICA,13-441-617-7064,AUTOMOBILE
184,Customer#000000184,yCcBpy9 WYMZ4iAE52qJv,VIETNAM  6,VIETNAM,ASIA,31-354-786-1315,AUTOMOBILE
185,Customer#000000185,Jj3saL,ETHIOPIA 7,ETHIOPIA,AFRICA,15-897-547-7477,BUILDING
187,Customer#000000187,diFK9VCi936VKUXBV2k,EGYPT    3,EGYPT,MIDDLE EAST,14-554-340-2658,FURNITURE
188,Customer#000000188,WS8 zVKmmCoX1LvL3neZdQt,ETHIOPIA 8,ETHIOPIA,AFRICA,15-626-175-5850,BUILDING
190,Customer#000000190,"mY30kK8AfsTGrx,L4zI   Ql",IRAQ     6,IRAQ,MIDDLE EAST,21-359-406-7775,AUTOMOBILE
191,Customer#000000191,cZMo3 b4Gw,MOZAMBIQU2,MOZAMBIQUE,AFRICA,26-107-715-5454,BUILDING
193,Customer#000000193,O67WNzzb71V1BG4gO0gk,UNITED KI8,UNITED KINGDOM,EUROPE,33-902-502-5313,MACHINERY
194,Customer#000000194,FGzgJO4xaZCHPOWuL,MOZAMBIQU3,MOZAMBIQUE,AFRICA,26-999-768-1409,HOUSEHOLD
196,Customer#000000196,VS9zyeC,CHINA    0,CHINA,ASIA,28-267-246-2360,FURNITURE
197,Customer#000000197,7M5Az MBdx,ARGENTINA7,ARGENTINA,AMERICA,11-409-367-8789,AUTOMOBILE
199,Customer#000000199,Gp6XuGF0QTNR72EYr6tHob,EGYPT    9,EGYPT,MIDDLE EAST,14-795-786-7560,FURNITURE
200,Customer#000000200,vZrjVPUUn6LjYBKe7,MOZAMBIQU5,MOZAMBIQUE,AFRICA,26-773-887-7320,BUILDING
202,Customer#000000202,"b,xhZM o",GERMANY  3,GERMANY,EUROPE,17-521-983-2897,AUTOMOBILE
203,Customer#000000203,ZL9FxQJrF4aIDo,ARGENTINA8,ARGENTINA,AMERICA,11-831-838-7460,MACHINERY
205,Customer#000000205,Ic7aplPrDJMpexX1fi,JAPAN    6,JAPAN,ASIA,22-757-792-2698,BUILDING
206,Customer#000000206,vzK0MK9j8VdgAtpa,INDONESIA8,INDONESIA,ASIA,19-587-821-9222,AUTOMOBILE
208,Customer#000000208,"rPtMZfvOdL3,g",ROMANIA  1,ROMANIA,EUROPE,29-433-546-4786,MACHINERY
209,Customer#000000209,JpwEud15XA4e2a4,MOZAMBIQU0,MOZAMBIQUE,AFRICA,26-510-267-8404,FURNITURE
211,Customer#000000211,79JF5css,JORDAN   9,JORDAN,MIDDLE EAST,23-815-814-1590,BUILDING
212,Customer#000000212,",R6,I2Xky",GERMANY  1,GERMANY,EUROPE,17-772-169-3141,BUILDING
214,Customer#000000214,fBovJPf POjeTqM,INDIA    7,INDIA,ASIA,18-484-781-4378,MACHINERY
215,Customer#000000215,"TjTUuQpJNMsj2T,q 2Aknl",INDONESIA6,INDONESIA,ASIA,19-874-432-7443,FURNITURE
217,Customer#000000217,"3it,VaeNyJA3",UNITED KI1,UNITED KINGDOM,EUROPE,33-491-898-9028,AUTOMOBILE
218,Customer#000000218,s5ZlojM8zMytdk2Mj8r9,EGYPT    8,EGYPT,MIDDLE EAST,14-742-754-1182,MACHINERY
220,Customer#000000220,8P6j5K,MOZAMBIQU5,MOZAMBIQUE,AFRICA,26-972-848-9563,BUILDING
223,Customer#000000223,MyQxUcG0P QC,SAUDI ARA5,SAUDI ARABIA,MIDDLE EAST,30-647-845-8868,BUILDING
226,Customer#000000226,"8CmEAqR,Les7GfAum",CANADA   8,CANADA,AMERICA,13-809-228-6781,AUTOMOBILE
227,Customer#000000227,UvFBmqzvy3qbdcn,JORDAN   6,JORDAN,MIDDLE EAST,23-157-687-8744,MACHINERY
229,Customer#000000229,9PwHuLEvtWyUgzZmjTF,ARGENTINA1,ARGENTINA,AMERICA,11-598-562-8741,BUILDING
230,Customer#000000230,pD9SuzXe2Aj,VIETNAM  2,VIETNAM,ASIA,31-253-371-2838,MACHINERY
232,Customer#000000232,DqRC0Y2c3xZ sgceNN0OvB,RUSSIA   6,RUSSIA,EUROPE,32-850-639-9277,HOUSEHOLD
235,Customer#000000235,"QB, iqeJWLfN",CANADA   8,CANADA,AMERICA,13-492-737-3337,AUTOMOBILE
236,Customer#000000236,"HO40Ef, Ji yqO5RCFZ",KENYA    7,KENYA,AFRICA,24-962-402-1321,AUTOMOBILE
238,Customer#000000238,"zm,F5hgXysWqkYrkQFY",MOZAMBIQU5,MOZAMBIQUE,AFRICA,26-707-731-4581,HOUSEHOLD
239,Customer#000000239,wSM9EfcE67I5cGxPPLO,INDONESIA2,INDONESIA,ASIA,19-969-748-4234,FURNITURE
241,Customer#000000241,mpxvjHb9WV0cwD1EqMsO,INDONESIA6,INDONESIA,ASIA,19-994-408-1893,AUTOMOBILE
242,Customer#000000242,RBKsgYj4qHhjlyMiZU7,CANADA   2,CANADA,AMERICA,13-428-827-7827,MACHINERY
244,Customer#000000244,mp5PoCm5QlRbSgCL,MOROCCO  1,MOROCCO,AFRICA,25-772-339-4630,HOUSEHOLD
245,Customer#000000245,jzMlidTH7kc7sqN2b,JAPAN    3,JAPAN,ASIA,22-497-699-5343,MACHINERY
247,Customer#000000247,eSAW4XaakYF,SAUDI ARA0,SAUDI ARABIA,MIDDLE EAST,30-522-923-2583,HOUSEHOLD
248,Customer#000000248,FK7ZVASQ,IRAN     0,IRAN,MIDDLE EAST,20-890-560-6896,FURNITURE
250,Customer#000000250,SJILXuILUsTvSB4T,MOZAMBIQU7,MOZAMBIQUE,AFRICA,26-933-422-6953,FURNITURE
251,Customer#000000251,"2RLNaFw,ToYGrJuwyRDOKJxa",JORDAN   7,JORDAN,MIDDLE EAST,23-114-944-3465,HOUSEHOLD
253,Customer#000000253,EQktiab,MOROCCO  0,MOROCCO,AFRICA,25-340-429-8617,AUTOMOBILE
254,Customer#000000254,xa0BmteaQlLh,ARGENTINA4,ARGENTINA,AMERICA,11-167-442-7532,MACHINERY
256,Customer#000000256,"NhUqKL2JS,iems1e",IRAN     4,IRAN,MIDDLE EAST,20-632-426-8611,HOUSEHOLD
257,Customer#000000257,gtiQYVm,GERMANY  3,GERMANY,EUROPE,17-942-182-7258,AUTOMOBILE
259,Customer#000000259,HvJRITU4HZ2AZWDw,ETHIOPIA 3,ETHIOPIA,AFRICA,15-365-527-6011,HOUSEHOLD
260,Customer#000000260,p j2YtuW,ARGENTINA3,ARGENTINA,AMERICA,11-403-439-8420,MACHINERY
262,Customer#000000262,oO6cqmpuexTCkgw,EGYPT    3,EGYPT,MIDDLE EAST,14-968-498-1950,AUTOMOBILE
263,Customer#000000263,3YBuMl4G7tRA,ARGENTINA5,ARGENTINA,AMERICA,11-665-185-5444,FURNITURE
265,Customer#000000265, yJIACHUobrgPnTqp8sRy,PERU     0,PERU,AMERICA,27-182-580-9845,MACHINERY
266,Customer#000000266,68im yIeNnxHnQ7buG,ALGERIA  5,ALGERIA,AFRICA,10-830-635-3511,HOUSEHOLD
268,Customer#000000268,"zG8faDcBLcRU,ZIzQN,VnOd",CANADA   0,CANADA,AMERICA,13-257-329-3630,MACHINERY
269,Customer#000000269,iTGflSIbcarrTo5wqEa9CvL1,KENYA    8,KENYA,AFRICA,24-403-652-3961,MACHINERY
271,Customer#000000271,d0jOM6Xr3,FRANCE   3,FRANCE,EUROPE,16-133-828-8463,MACHINERY
272,Customer#000000272,s2nHgCH3mM,BRAZIL   2,BRAZIL,AMERICA,12-173-882-1212,MACHINERY
274,Customer#000000274,RNMz3wdxEDcAzgK mZ,ROMANIA  1,ROMANIA,EUROPE,29-842-198-4544,FURNITURE
275,Customer#000000275,fZ6o7h 1,RUSSIA   6,RUSSIA,EUROPE,32-856-397-7045,AUTOMOBILE
277,Customer#000000277,"q4kzaNwjG,qL9h",UNITED KI1,UNITED KINGDOM,EUROPE,33-466-455-4062,BUILDING
278,Customer#000000278,XHAfHlrYQ,SAUDI ARA7,SAUDI ARABIA,MIDDLE EAST,30-899-962-8747,BUILDING
280,Customer#000000280,YLnIkFdU,IRAQ     1,IRAQ,MIDDLE EAST,21-965-569-6796,BUILDING
281,Customer#000000281,vVKhSjkEYl,FRANCE   9,FRANCE,EUROPE,16-944-432-4177,BUILDING
283,Customer#000000283,Itzjny7g6g3mHNpKyirfB7y,GERMANY  8,GERMANY,EUROPE,17-123-216-8592,AUTOMOBILE
284,Customer#000000284,Z1KqGRpKPURIKc9Mi,FRANCE   8,FRANCE,EUROPE,16-588-683-6914,AUTOMOBILE
286,Customer#000000286,UrTx5o BG4,RUSSIA   6,RUSSIA,EUROPE,32-707-733-5967,HOUSEHOLD
287,Customer#000000287,"h7zQ7rh9o,Ne2GtmET",EGYPT    3,EGYPT,MIDDLE EAST,14-728-816-8689,MACHINERY
289,Customer#000000289,"e6IFMKK,D5dGgXg,84,0qqj",IRAN     0,IRAN,MIDDLE EAST,20-375-860-5274,AUTOMOBILE
290,Customer#000000290,TcFb7SkrS6B53E5,EGYPT    9,EGYPT,MIDDLE EAST,14-907-437-9925,MACHINERY
292,Customer#000000292,Ko3JXxuo,IRAQ     5,IRAQ,MIDDLE EAST,21-122-182-7173,HOUSEHOLD
293,Customer#000000293,UtDv3UF1XCZOEq49G,BRAZIL   9,BRAZIL,AMERICA,12-663-142-8513,MACHINERY
295,Customer#000000295,FGUWRjjUDHaZWvC851ZOvy,ALGERIA  5,ALGERIA,AFRICA,10-681-434-4597,HOUSEHOLD
298,Customer#000000298,IlglXwrSQMLmoKTFb0Ay,VIETNAM  5,VIETNAM,ASIA,31-410-697-9589,BUILDING
301,Customer#000000301,mylARpKK,GERMANY  0,GERMANY,EUROPE,17-838-984-8123,HOUSEHOLD
302,Customer#000000302,PhXOjDqHqIRu7,EGYPT    1,EGYPT,MIDDLE EAST,14-168-238-3936,MACHINERY
304,Customer#000000304,pIFwPYGS,ALGERIA  5,ALGERIA,AFRICA,10-327-491-9392,MACHINERY
305,Customer#000000305,vSGOF1,IRAQ     2,IRAQ,MIDDLE EAST,21-202-593-2752,FURNITURE
307,Customer#000000307,vwGhZY,JORDAN   1,JORDAN,MIDDLE EAST,23-405-833-5155,FURNITURE
308,Customer#000000308,PR4xdqIm2EluMp,INDONESIA0,INDONESIA,ASIA,19-532-217-3147,HOUSEHOLD
310,Customer#000000310,b1DOVFGfibKUhk tOjE9,ARGENTINA4,ARGENTINA,AMERICA,11-905-806-4794,FURNITURE
311,Customer#000000311,OwBdqaFMXEaZRknXzYKB,UNITED KI9,UNITED KINGDOM,EUROPE,33-728-899-3099,AUTOMOBILE
314,Customer#000000314,T0yN762k2C39QqgwkrUQohD,JORDAN   8,JORDAN,MIDDLE EAST,23-791-709-9837,MACHINERY
316,Customer#000000316,tmrNdY,INDIA    8,INDIA,ASIA,18-859-834-6990,MACHINERY
317,Customer#000000317,ycMxfT,ROMANIA  5,ROMANIA,EUROPE,29-262-108-8105,HOUSEHOLD
320,Customer#000000320,CcS 49,JAPAN    9,JAPAN,ASIA,22-602-486-6258,MACHINERY
322,Customer#000000322,Q49touHj,SAUDI ARA1,SAUDI ARABIA,MIDDLE EAST,30-728-242-2585,HOUSEHOLD
323,Customer#000000323,2fD51so39I,CHINA    9,CHINA,ASIA,28-316-143-8296,AUTOMOBILE
325,Customer#000000325,2riWXxFXyQYI2EH4dQ8esN,MOROCCO  5,MOROCCO,AFRICA,25-362-625-5071,HOUSEHOLD
328,Customer#000000328,"SBxrHZjCmL,xJI2YHu",ETHIOPIA 9,ETHIOPIA,AFRICA,15-257-189-8054,BUILDING
329,Customer#000000329,VT U3Eiu65LqOX,IRAQ     9,IRAQ,MIDDLE EAST,21-622-358-5183,BUILDING
331,Customer#000000331,7KrMYjpPF0ghx,ETHIOPIA 1,ETHIOPIA,AFRICA,15-667-869-7772,AUTOMOBILE
332,Customer#000000332,"iLCzA1kUsIRKTe,XiwouU",RUSSIA   3,RUSSIA,EUROPE,32-766-450-4359,HOUSEHOLD
334,Customer#000000334,dbdZdUyWQa,EGYPT    7,EGYPT,MIDDLE EAST,14-689-894-3979,BUILDING
335,Customer#000000335,OYho2g YlRzoZq1,VIETNAM  5,VIETNAM,ASIA,31-371-300-3377,HOUSEHOLD
337,Customer#000000337,"nFx97GcWBmUx,38hgtwgx5",ALGERIA  2,ALGERIA,AFRICA,10-132-132-3301,MACHINERY
338,Customer#000000338,"sQI2qN4Ki,DGk8hxTcKwhAe",UNITED KI6,UNITED KINGDOM,EUROPE,33-100-683-7268,FURNITURE
340,Customer#000000340,59Db haEqEDeaKjbm9C5d,BRAZIL   2,BRAZIL,AMERICA,12-785-226-2963,BUILDING
341,Customer#000000341,X0saLGNY25S78MdLo8,INDONESIA3,INDONESIA,ASIA,19-972-456-8875,FURNITURE
