column_a,trans_id,account_id,type,operation,amount,balance,k_symbol,bank,account,year_,month_,day_,date_,fulldate,fulltime,fulldatewithtime
20,T00542215,A00001844,Credit,Credit in Cash,500.0,500.0,,,,2013,1,6,2013-01-06,2013-01-06,14:38:54,2013-01-06T14:38:54
21,T00565654,A00001926,Credit,Credit in Cash,700.0,700.0,,,,2013,1,6,2013-01-06,2013-01-06,11:41:28,2013-01-06T11:41:28
22,T00542216,A00001844,Credit,Collection from Another Bank,3242.0,3742.0,,Capital One,42988401.0,2013,1,7,2013-01-07,2013-01-07,10:11:45,2013-01-07T10:11:45
23,T01027725,A00003510,Credit,Credit in Cash,500.0,500.0,,,,2013,1,7,2013-01-07,2013-01-07,08:59:48,2013-01-07T08:59:48
24,T00374589,A00001276,Credit,Credit in Cash,400.0,400.0,,,,2013,1,7,2013-01-07,2013-01-07,13:53:48,2013-01-07T13:53:48
25,T00579374,A00001972,Credit,Collection from Another Bank,5298.0,5698.0,Old Age Pension,Bank of New York Mellon Corp.,14132887.0,2013,1,7,2013-01-07,2013-01-07,08:09:01,2013-01-07T08:09:01
26,T00699220,A00002393,Credit,Credit in Cash,900.0,900.0,,,,2013,1,7,2013-01-07,2013-01-07,09:44:19,2013-01-07T09:44:19
27,T00129502,A00000435,Credit,Credit in Cash,400.0,400.0,,,,2013,1,8,2013-01-08,2013-01-08,11:33:46,2013-01-08T11:33:46
28,T00374590,A00001276,Credit,Credit in Cash,6774.0,7174.0,,,,2013,1,8,2013-01-08,2013-01-08,10:41:24,2013-01-08T10:41:24
29,T00057433,A00000192,Credit,Credit in Cash,300.0,300.0,,,,2013,1,8,2013-01-08,2013-01-08,11:27:40,2013-01-08T11:27:40
30,T00497212,A00001695,Credit,Credit in Cash,11832.0,12032.0,,,,2013,1,8,2013-01-08,2013-01-08,11:42:14,2013-01-08T11:42:14
31,T00621760,A00002122,Credit,Credit in Cash,300.0,300.0,,,,2013,1,8,2013-01-08,2013-01-08,13:23:47,2013-01-08T13:23:47
32,T00480214,A00001637,Credit,Credit in Cash,500.0,500.0,,,,2013,1,8,2013-01-08,2013-01-08,14:01:07,2013-01-08T14:01:07
33,T00612392,A00002087,Credit,Credit in Cash,600.0,600.0,,,,2013,1,8,2013-01-08,2013-01-08,13:21:14,2013-01-08T13:21:14
34,T00224342,A00000764,Credit,Credit in Cash,1100.0,1100.0,,,,2013,1,8,2013-01-08,2013-01-08,10:25:46,2013-01-08T10:25:46
35,T01049881,A00003592,Credit,Credit in Cash,600.0,600.0,,,,2013,1,8,2013-01-08,2013-01-08,13:49:31,2013-01-08T13:49:31
36,T01132662,A00003871,Credit,Credit in Cash,300.0,300.0,,,,2013,1,8,2013-01-08,2013-01-08,14:07:56,2013-01-08T14:07:56
37,T01021120,A00003487,Credit,Credit in Cash,800.0,800.0,,,,2013,1,8,2013-01-08,2013-01-08,08:08:38,2013-01-08T08:08:38
38,T00439035,A00001493,Credit,Credit in Cash,200.0,200.0,,,,2013,1,9,2013-01-09,2013-01-09,09:39:13,2013-01-09T09:39:13
39,T00110534,A00000374,Credit,Credit in Cash,400.0,400.0,,,,2013,1,9,2013-01-09,2013-01-09,09:09:09,2013-01-09T09:09:09
40,T00771036,A00002632,Credit,Credit in Cash,14264.0,15364.0,,,,2013,1,9,2013-01-09,2013-01-09,09:27:45,2013-01-09T09:27:45
41,T00506450,A00001730,Credit,Credit in Cash,900.0,900.0,,,,2013,1,9,2013-01-09,2013-01-09,11:42:16,2013-01-09T11:42:16
42,T00192097,A00000652,Credit,Credit in Cash,13851.0,14551.0,,,,2013,1,9,2013-01-09,2013-01-09,16:46:01,2013-01-09T16:46:01
43,T01117248,A00003818,Credit,Credit in Cash,17366.0,17966.0,,,,2013,1,9,2013-01-09,2013-01-09,08:09:03,2013-01-09T08:09:03
44,T00695720,A00002379,Credit,Credit in Cash,800.0,800.0,,,,2013,1,10,2013-01-10,2013-01-10,15:55:39,2013-01-10T15:55:39
45,T00857973,A00002925,Credit,Credit in Cash,1000.0,1000.0,,,,2013,1,10,2013-01-10,2013-01-10,12:19:11,2013-01-10T12:19:11
46,T00477638,A00001628,Credit,Credit in Cash,700.0,700.0,,,,2013,1,10,2013-01-10,2013-01-10,08:10:26,2013-01-10T08:10:26
47,T01049882,A00003592,Credit,Collection from Another Bank,6007.0,6607.0,Old Age Pension,U.S. Bancorp,73166322.0,2013,1,10,2013-01-10,2013-01-10,09:02:13,2013-01-10T09:02:13
48,T00252644,A00000866,Credit,Credit in Cash,500.0,500.0,,,,2013,1,10,2013-01-10,2013-01-10,10:45:25,2013-01-10T10:45:25
49,T00393505,A00001338,Credit,Credit in Cash,400.0,400.0,,,,2013,1,11,2013-01-11,2013-01-11,08:34:56,2013-01-11T08:34:56
50,T00171813,A00000576,Credit,Collection from Another Bank,6207.0,7107.0,Old Age Pension,State Street Corp.,30300313.0,2013,1,11,2013-01-11,2013-01-11,16:36:38,2013-01-11T16:36:38
51,T00581699,A00001979,Credit,Credit in Cash,900.0,900.0,,,,2013,1,11,2013-01-11,2013-01-11,12:20:47,2013-01-11T12:20:47
52,T00252645,A00000866,Credit,Credit in Cash,12644.0,13144.0,,,,2013,1,11,2013-01-11,2013-01-11,15:04:16,2013-01-11T15:04:16
53,T00101386,A00000346,Credit,Credit in Cash,800.0,800.0,,,,2013,1,11,2013-01-11,2013-01-11,11:25:35,2013-01-11T11:25:35
54,T00689828,A00002357,Credit,Collection from Another Bank,6434.0,7234.0,Old Age Pension,PNC Financial Services,34144538.0,2013,1,12,2013-01-12,2013-01-12,10:30:16,2013-01-12T10:30:16
55,T00725752,A00002484,Credit,Credit in Cash,14779.0,15879.0,,,,2013,1,12,2013-01-12,2013-01-12,16:47:37,2013-01-12T16:47:37
56,T00565655,A00001926,Credit,Credit in Cash,4507.0,5207.0,,,,2013,1,12,2013-01-12,2013-01-12,13:52:16,2013-01-12T13:52:16
57,T00857974,A00002925,Credit,Credit in Cash,6446.0,7446.0,,,,2013,1,12,2013-01-12,2013-01-12,12:34:59,2013-01-12T12:34:59
58,T00560898,A00001909,Credit,Credit in Cash,800.0,800.0,,,,2013,1,12,2013-01-12,2013-01-12,14:13:45,2013-01-12T14:13:45
59,T00207265,A00000704,Credit,Credit in Cash,17477.0,18477.0,,,,2013,1,12,2013-01-12,2013-01-12,11:04:49,2013-01-12T11:04:49
60,T00477639,A00001628,Credit,Collection from Another Bank,4276.0,4976.0,Old Age Pension,Bank of New York Mellon Corp.,15916598.0,2013,1,12,2013-01-12,2013-01-12,11:14:10,2013-01-12T11:14:10
61,T00615542,A00002099,Credit,Credit in Cash,1100.0,1100.0,,,,2013,1,12,2013-01-12,2013-01-12,13:13:38,2013-01-12T13:13:38
62,T00439036,A00001493,Credit,Collection from Another Bank,5009.0,5209.0,Old Age Pension,JPMorgan Chase,54522466.0,2013,1,13,2013-01-13,2013-01-13,14:38:37,2013-01-13T14:38:37
63,T01100759,A00003760,Credit,Credit in Cash,1000.0,1000.0,,,,2013,1,13,2013-01-13,2013-01-13,15:18:01,2013-01-13T15:18:01
64,T00480215,A00001637,Credit,Collection from Another Bank,5718.0,6218.0,Old Age Pension,Bank of New York Mellon Corp.,45134812.0,2013,1,13,2013-01-13,2013-01-13,14:23:02,2013-01-13T14:23:02
65,T01548749,A00005270,Credit,Credit in Cash,800.0,800.0,,,,2013,1,13,2013-01-13,2013-01-13,13:11:54,2013-01-13T13:11:54
66,T00505241,A00001726,Credit,Credit in Cash,13967.0,14967.0,,,,2013,1,13,2013-01-13,2013-01-13,12:29:39,2013-01-13T12:29:39
67,T00846007,A00002881,Credit,Credit in Cash,6959.0,7659.0,,,,2013,1,13,2013-01-13,2013-01-13,14:39:11,2013-01-13T14:39:11
68,T01021121,A00003487,Credit,Credit in Cash,15914.0,16714.0,,,,2013,1,13,2013-01-13,2013-01-13,13:39:09,2013-01-13T13:39:09
69,T02908689,A00009635,Credit,Collection from Another Bank,4470.0,4870.0,Old Age Pension,Bank of America,37906074.0,2013,1,14,2013-01-14,2013-01-14,14:50:59,2013-01-14T14:50:59
70,T00858384,A00002926,Credit,Credit in Cash,600.0,600.0,,,,2013,1,14,2013-01-14,2013-01-14,10:12:59,2013-01-14T10:12:59
71,T00498389,A00001699,Credit,Credit in Cash,800.0,800.0,,,,2013,1,14,2013-01-14,2013-01-14,14:55:00,2013-01-14T14:55:00
72,T00699221,A00002393,Credit,Credit in Cash,10737.0,11637.0,,,,2013,1,14,2013-01-14,2013-01-14,14:59:01,2013-01-14T14:59:01
73,T01142758,A00003909,Credit,Credit in Cash,700.0,700.0,,,,2013,1,14,2013-01-14,2013-01-14,14:49:02,2013-01-14T14:49:02
74,T01548750,A00005270,Credit,Collection from Another Bank,44749.0,45549.0,,Goldman Sachs,80269753.0,2013,1,14,2013-01-14,2013-01-14,09:52:52,2013-01-14T09:52:52
75,T00506836,A00001731,Credit,Credit in Cash,200.0,200.0,,,,2013,1,14,2013-01-14,2013-01-14,16:20:17,2013-01-14T16:20:17
76,T03393738,A00011265,Credit,Credit in Cash,1000.0,1000.0,,,,2013,1,14,2013-01-14,2013-01-14,11:58:13,2013-01-14T11:58:13
77,T00621775,A00002122,Credit,Credit in Cash,46552.0,46852.0,,,,2013,1,15,2013-01-15,2013-01-15,10:12:11,2013-01-15T10:12:11
78,T00737258,A00002519,Credit,Credit in Cash,500.0,500.0,,,,2013,1,15,2013-01-15,2013-01-15,15:25:00,2013-01-15T15:25:00
79,T00144549,A00000485,Credit,Credit in Cash,13156.0,13456.0,,,,2013,1,16,2013-01-16,2013-01-16,14:32:23,2013-01-16T14:32:23
80,T00435762,A00001481,Credit,Credit in Cash,1000.0,1000.0,,,,2013,1,17,2013-01-17,2013-01-17,14:42:51,2013-01-17T14:42:51
81,T01027726,A00003510,Credit,Credit in Cash,23323.0,23823.0,,,,2013,1,17,2013-01-17,2013-01-17,08:48:50,2013-01-17T08:48:50
82,T03122924,A00010364,Credit,Credit in Cash,1100.0,1100.0,,,,2013,1,17,2013-01-17,2013-01-17,12:57:05,2013-01-17T12:57:05
83,T01176385,A00004034,Credit,Credit in Cash,200.0,200.0,,,,2013,1,18,2013-01-18,2013-01-18,15:59:05,2013-01-18T15:59:05
84,T00119435,A00000401,Credit,Credit in Cash,300.0,300.0,,,,2013,1,18,2013-01-18,2013-01-18,11:37:05,2013-01-18T11:37:05
85,T01100767,A00003760,Credit,Credit in Cash,10792.0,11792.0,,,,2013,1,18,2013-01-18,2013-01-18,10:17:03,2013-01-18T10:17:03
86,T00682546,A00002330,Credit,Credit in Cash,200.0,200.0,,,,2013,1,19,2013-01-19,2013-01-19,09:28:59,2013-01-19T09:28:59
87,T00529772,A00001806,Credit,Credit in Cash,400.0,400.0,,,,2013,1,19,2013-01-19,2013-01-19,15:16:58,2013-01-19T15:16:58
88,T01121963,A00003834,Credit,Credit in Cash,700.0,700.0,,,,2013,1,19,2013-01-19,2013-01-19,09:34:56,2013-01-19T09:34:56
89,T00359511,A00001222,Credit,Credit in Cash,700.0,700.0,,,,2013,1,20,2013-01-20,2013-01-20,11:07:02,2013-01-20T11:07:02
90,T00063712,A00000212,Credit,Credit in Cash,200.0,200.0,,,,2013,1,20,2013-01-20,2013-01-20,12:29:33,2013-01-20T12:29:33
91,T00298978,A00001019,Credit,Credit in Cash,1100.0,1100.0,,,,2013,1,21,2013-01-21,2013-01-21,15:60:16,2013-01-21T15:60:16
92,T00136957,A00000459,Credit,Credit in Cash,1000.0,1000.0,,,,2013,1,21,2013-01-21,2013-01-21,11:07:56,2013-01-21T11:07:56
93,T00135814,A00000456,Credit,Credit in Cash,700.0,700.0,,,,2013,1,21,2013-01-21,2013-01-21,08:28:34,2013-01-21T08:28:34
94,T00226654,A00000772,Credit,Credit in Cash,500.0,500.0,,,,2013,1,21,2013-01-21,2013-01-21,08:31:17,2013-01-21T08:31:17
95,T03402664,A00011295,Credit,Credit in Cash,1100.0,1100.0,,,,2013,1,21,2013-01-21,2013-01-21,13:38:31,2013-01-21T13:38:31
96,T00695250,A00002378,Credit,Credit in Cash,7268.0,7968.0,,,,2013,1,22,2013-01-22,2013-01-22,14:43:54,2013-01-22T14:43:54
97,T00451890,A00001536,Credit,Credit in Cash,300.0,300.0,,,,2013,1,22,2013-01-22,2013-01-22,11:17:36,2013-01-22T11:17:36
98,T00785190,A00002676,Credit,Credit in Cash,200.0,200.0,,,,2013,1,22,2013-01-22,2013-01-22,08:36:26,2013-01-22T08:36:26
99,T00615548,A00002099,Credit,Credit in Cash,16125.0,17225.0,,,,2013,1,22,2013-01-22,2013-01-22,15:37:35,2013-01-22T15:37:35
100,T00871631,A00002970,Credit,Credit in Cash,400.0,400.0,,,,2013,1,22,2013-01-22,2013-01-22,11:08:59,2013-01-22T11:08:59
