client_id,sex,fulldate,day_,month_,year_,date_,age,social,first_,middle,last_,phone,email,address_1,address_2,city,state,zipcode,district_id
C00000018,Female,1951-04-05,5,4,1951,1951-04-05,68,392-61-8907,Charlotte,Joi,Rodriguez,914-823-6406,charlotte.rodriguez2@gmail.com,7463 Griffin St.,,Yonkers,NY,10703,76
C00000019,Male,1962-12-28,28,12,1962,1962-12-28,57,832-01-3704,Benjamin,Denis,Walker,927-296-6436,benjamin.walker@gmail.com,8095 Devon Court,,Charleston,WV,48126,47
C00000020,Male,1999-01-04,4,1,1999,1999-01-04,21,419-19-0547,Elijah,Grayden,Perez,886-176-3524,elijah.perez@gmail.com,597 Foster Street,,San Diego,CA,48787,46
C00000021,Female,1972-10-29,29,10,1972,1972-10-29,47,139-70-2852,Harper,Juno,Wilson,894-384-1832,harper.wilson@outlook.com,6 Devon Court,,Portland,OR,45780,12
C00000022,Female,1989-10-11,11,10,1989,1989-10-11,30,157-87-6583,Madison,Kimberlyn,Martinez,212-093-8170,madison.martinez@gmail.com,7062 Temple Court,Unit 1B,New York City,NY,10282,1
C00000023,Male,1993-05-29,29,5,1993,1993-05-29,26,158-18-4299,Daniel,Isa,Hall,212-803-8384,daniel.hall67@gmail.com,30 West Westport Dr.,,New York City,NY,10009,1
C00000024,Female,1959-07-29,29,7,1959,1959-07-29,60,637-42-2042,Amelia,Leora,Anderson,302-681-4855,amelia.anderson8@gmail.com,44 Walt Whitman St.,,Wilmington,DE,45260,43
C00000025,Female,1959-04-23,23,4,1959,1959-04-23,60,349-52-4604,Elizabeth,Lupita,Taylor,184-276-9486,elizabeth.taylor@gmail.com,92 Fairway Drive,,Omaha,NE,42325,21
C00000026,Female,1989-04-20,20,4,1989,1989-04-20,30,956-04-7186,Sofia,Makaila,Thomas,660-390-7055,sofia.thomas@gmail.com,17 East Glenridge Road,Apt. 3D,Chicago,IL,46300,74
C00000027,Female,1986-03-26,26,3,1986,1986-03-26,33,691-10-5744,Evelyn,Mari,Hernandez,407-745-6584,evelyn.mari.hernandez8@gmail.com,88 Second Dr.,,Houston,TX,47795,54
C00000028,Male,1965-09-29,29,9,1965,1965-09-29,54,517-85-8773,Aiden,Jamil,Young,212-751-6276,aiden.young9@gmail.com,125 North Holly Dr.,,New York City,NY,10158,1
C00000029,Female,1971-09-11,11,9,1971,1971-09-11,48,518-96-1042,Avery,Mildred,Moore,996-691-7268,avery.moore@hotmail.com,327 Golf St.,,Boise,ID,48851,30
C00000030,Female,1977-10-09,9,10,1977,1977-10-09,42,610-21-2152,Chloe,Odette,Martin,255-965-5392,chloe.martin8765@gmail.com,8 Pacific Lane,,Chicago,IL,42552,74
C00000031,Male,1982-02-09,9,2,1982,1982-02-09,37,318-55-4386,Logan,Judd,Allen,452-935-2140,logan.allen4@gmail.com,9953 Coffee Court,,Cranston,RI,46720,68
C00000032,Male,2000-07-28,28,7,2000,2000-07-28,19,755-20-3365,Matthew,Keyon,Sanchez,214-728-5200,matthew.sanchez3@gmail.com,8163 Sutor Court,,New Haven,CT,45291,52
C00000033,Female,1968-12-04,4,12,1968,1968-12-04,51,956-56-8470,Ella,Triniti,Jackson,769-780-3102,ella.jackson4@outlook.com,940 Vale Lane,,New Britain,CT,46386,73
C00000036,Female,1998-07-17,17,7,1998,1998-07-17,21,611-81-5222,Grace,Emma,Thompson,530-856-5348,grace.thompson56@gmail.com,9675 Tanglewood Drive,,Denver,CO,41755,7
C00000037,Male,1990-08-10,10,8,1990,1990-08-10,29,288-95-5033,Lucas,Korben,Wright,854-055-8899,lucas.wright5@gmail.com,50 Elmwood Street,,Denver,CO,48628,7
C00000038,Female,1993-07-23,23,7,1993,1993-07-23,26,881-47-7103,Victoria,Olivia,White,976-965-9681,victoria.white43@gmail.com,329 Jockey Hollow Court,,Providence,RI,48105,36
C00000039,Male,1988-01-25,25,1,1988,1988-01-25,32,426-18-0606,Jackson,Rishaan,King,918-846-9875,jackson.king@gmail.com,21 Middle River Drive,,Cranston,RI,43461,68
C00000040,Female,1977-01-22,22,1,1977,1977-01-22,43,461-50-3823,Aubrey,Sophia,Lopez,776-464-1839,aubrey.lopez@gmail.com,943 N. Birch Hill Avenue,,Indianapolis,IN,42125,5
C00000041,Male,1988-08-27,27,8,1988,1988-08-27,31,779-39-2212,David,Yousif,Scott,232-353-1692,david.scott@outlook.com,8572 Mill Pond Rd.,,Virginia Beach,VA,45895,22
C00000042,Male,1955-08-17,17,8,1955,1955-08-17,64,472-48-0888,Oliver,Bailey,Green,334-407-0626,oliver.green@gmail.com,50 Smith Store Ave.,,Cranston,RI,45795,68
C00000043,Male,1940-10-28,28,10,1940,1940-10-28,79,445-32-4546,Jayden,Cedar,Baker,585-209-6726,jayden.baker4@gmail.com,38 Prairie Street,Unit 81,Rochester,NY,14602,75
C00000044,Female,1997-01-11,11,1,1997,1997-01-11,23,396-63-1548,Scarlett,Ann,Lee,184-418-5826,scarlett.lee@gmail.com,9461 Rockledge Street,,Bridgeport,CT,44504,38
C00000045,Male,1972-08-26,26,8,1972,1972-08-26,47,665-55-8941,Joseph,Ely,Adams,786-924-4329,joseph.adams@gmail.com,421 Vermont Drive,,Kansas City,MO,42666,20
C00000046,Female,1960-01-30,30,1,1960,1960-01-30,60,883-63-2770,Zoey,Emma,Gonzalez,129-567-0397,zoey.gonzalez@gmail.com,9437 Greystone Drive,,Atlanta,GA,42729,19
C00000047,Male,1954-07-14,14,7,1954,1954-07-14,65,247-03-1392,Gabriel,Jahlil,Nelson,914-406-1227,gabriel.jahlil.nelson@gmail.com,8953 Jones Street,,Yonkers,NY,10704,76
C00000048,Male,1960-02-09,9,2,1960,1960-02-09,59,392-60-6346,Samuel,Koby,Hill,627-964-4534,samuel.hill@gmail.com,14 Hanover Ave.,Unit 1B,Baltimore,MD,41466,16
C00000049,Female,1979-05-11,11,5,1979,1979-05-11,40,918-27-5875,Addison,Olivia,Harris,492-103-4485,addison.harris@hotmail.com,7715 Prince Dr.,,Philadelphia,PA,43443,72
C00000050,Female,1998-07-30,30,7,1998,1998-07-30,21,874-41-6125,Lily,Sophia,Clark,874-304-7236,lily.clark@gmail.com,44 Fordham Ave.,,Charleston,SC,48339,39
C00000051,Female,1999-12-02,2,12,1999,1999-12-02,20,605-79-6843,Lillian,Ava,Lewis,193-754-1578,lillian.lewis@gmail.com,948 Annadale St.,,Providence,RI,48078,36
C00000052,Male,1944-12-12,12,12,1944,1944-12-12,75,599-20-6019,Carter,Markel,Ramirez,594-267-8218,carter.ramirez@gmail.com,89 Henry Smith St.,,Birmingham,AL,45430,32
C00000053,Male,1997-05-05,5,5,1997,1997-05-05,22,749-94-5094,Anthony,Oskar,Campbell,123-412-3909,anthony.campbell@outlook.com,8661 Dogwood Lane,,Phoenix,AZ,40915,64
C00000055,Female,1968-09-18,18,9,1968,1968-09-18,51,167-61-1121,Natalie,Isabella,Robinson,352-888-5607,natalie.robinson@gmail.com,114 Spring Street,,Cheyenne,WY,44611,45
C00000056,Male,1980-03-31,31,3,1980,1980-03-31,39,986-31-0393,John,Rigoberto,Mitchell,943-306-4745,john.mitchell@gmail.com,174 Halifax Ave.,,Omaha,NE,40089,21
C00000057,Female,1981-12-17,17,12,1981,1981-12-17,38,767-26-4726,Hannah,Mia,Walker,410-131-4320,hannah.walker@gmail.com,62 South Manor Station Drive,,Omaha,NE,40846,21
C00000058,Female,1947-04-29,29,4,1947,1947-04-29,72,810-95-8590,Aria,Abigail,Perez,212-621-0332,aria.perez@gmail.com,9122 South Fieldstone Dr.,,New York City,NY,10116,1
C00000059,Male,1977-02-18,18,2,1977,1977-02-18,42,305-32-3513,Dylan,Tiberius,Roberts,212-616-4139,dylan.roberts@gmail.com,188 1st Road,,New York City,NY,10199,1
C00000060,Male,2000-02-19,19,2,2000,2000-02-19,19,534-35-1562,Luke,Wolfgang,Carter,694-391-2679,luke.carter@outlook.com,8604 Miller Rd.,,Danbury,CT,42452,67
C00000061,Female,1968-08-06,6,8,1968,1968-08-06,51,890-87-8722,Layla,Emily,Hall,452-815-2646,layla.hall@gmail.com,8673 Wakehurst Court,,Baltimore,MD,47090,16
C00000062,Male,1952-12-08,8,12,1952,1952-12-08,67,721-99-5393,Henry,Chayce,Phillips,315-775-0721,henry.phillips@gmail.com,279 Mechanic Lane,,Syracuse,NY,13201,77
C00000063,Male,1979-06-04,4,6,1979,1979-06-04,40,486-07-3316,Andrew,Deven,Evans,853-813-3217,andrew.evans@gmail.com,9 Iroquois St.,,Charlotte,NC,46324,4
C00000064,Male,1946-04-22,22,4,1946,1946-04-22,73,538-17-0630,Isaac,Levon,Turner,750-089-7210,isaac.turner@gmail.com,9314 Lees Creek Rd.,,Kansas City,MO,40005,20
C00000065,Female,1963-05-27,27,5,1963,1963-05-27,56,380-98-0077,Brooklyn,Charlotte,Young,716-102-4229,brooklyn.young@gmail.com,682 Linden Dr.,,Buffalo,NY,14267,50
C00000066,Female,1971-11-10,10,11,1971,1971-11-10,48,269-51-2282,Alexa,Harper,Allen,212-875-6847,alexa.harper.allen@gmail.com,18 Rockville Dr.,,New York City,NY,10087,1
C00000067,Female,1952-11-11,11,11,1952,1952-11-11,67,400-72-8738,Zoe,Madison,Sanchez,254-359-7450,zoe.sanchez@gmail.com,388 Fawn Dr.,,Newark,NJ,45151,29
C00000068,Male,1966-12-14,14,12,1966,1966-12-14,53,854-39-7488,Christopher,Lloyd,Torres,798-103-7589,christopher.torres@hotmail.com,9855 Riverview Lane,,Wilmington,DE,45109,43
C00000070,Male,1945-12-22,22,12,1945,1945-12-22,74,618-58-1887,Joshua,Carsyn,Parker,956-519-0084,joshua.parker@gmail.com,70 Oak Ave.,,Los Angeles,CA,40489,70
C00000071,Female,1947-02-06,6,2,1947,1947-02-06,72,861-61-1685,Penelope,Amelia,Wright,365-143-7361,penelope.wright@gmail.com,9886 Ridgeview Street,,Los Angeles,CA,41039,70
C00000072,Male,1943-01-13,13,1,1943,1943-01-13,77,613-29-1524,Wyatt,Devyn,Collins,542-643-2130,wyatt.collins@gmail.com,547 Marconi Court,,Charleston,WV,43117,47
C00000073,Male,1944-02-20,20,2,1944,1944-02-20,75,818-46-2099,Sebastian,Dov,Edwards,916-123-8829,sebastian.edwards@outlook.com,9187 Hillcrest Rd.,,Virginia Beach,VA,42612,22
C00000074,Female,1945-07-26,26,7,1945,1945-07-26,74,921-32-4873,Riley,Elizabeth,King,966-857-3250,riley.king@gmail.com,7 Ridgeview Street,,Virginia Beach,VA,42021,22
C00000075,Female,1997-09-19,19,9,1997,1997-09-19,22,659-99-6511,Leah,Sofia,Scott,617-030-2759,leah.scott@gmail.com,35 Walnutwood Ave.,,Phoenix,AZ,41921,64
C00000076,Female,1987-10-01,1,10,1987,1987-10-01,32,297-77-5386,Audrey,Evelyn,Green,293-545-7588,audrey.green@gmail.com,8109 Lake View Road,,Providence,RI,47819,36
C00000077,Female,1976-02-18,18,2,1976,1976-02-18,43,381-22-7472,Savannah,Avery,Baker,212-996-3299,savannah.baker@gmail.com,24 Leatherwood St.,,New York City,NY,10114,1
C00000078,Female,1964-06-13,13,6,1964,1964-06-13,55,309-65-8189,Allison,Chloe,Adams,206-534-4919,allison.adams@gmail.com,63 Bald Hill Street,,Baltimore,MD,42644,16
C00000079,Female,1989-03-10,10,3,1989,1989-03-10,30,869-81-2271,Samantha,Ella,Nelson,192-898-8157,samantha.nelson@outlook.com,808 Glenwood Street,,Jackson,MS,42623,37
C00000080,Female,1999-02-25,25,2,1999,1999-02-25,20,132-47-0825,Nora,Grace,Hill,914-011-1365,nora.hill@gmail.com,366 Purple Finch Road,,Phoenix,AZ,44952,64
C00000081,Male,1996-04-29,29,4,1996,1996-04-29,23,867-44-1568,Owen,Drayden,Stewart,427-771-2986,owen.stewart@gmail.com,874 Riverside Drive,,Washington,DC,48427,8
C00000082,Female,1999-12-25,25,12,1999,1999-12-25,20,100-94-2798,Skylar,Victoria,Ramirez,963-716-6263,skylar.ramirez@gmail.com,772 Sunnyslope Ave.,,Washington,DC,45679,8
C00000083,Female,1998-12-25,25,12,1998,1998-12-25,21,470-19-9896,Camila,Aubrey,Campbell,212-031-4727,camila.campbell@gmail.com,619 Whitemarsh Rd.,,New York City,NY,10278,1
C00000084,Male,1999-05-05,5,5,1999,1999-05-05,20,495-13-7873,Caleb,Floyd,Flores,212-946-7532,caleb.flores@gmail.com,7100 Wintergreen Street,,New York City,NY,10019,1
C00000085,Male,1981-08-27,27,8,1981,1981-08-27,38,751-50-9916,Nathan,Fynn,Morris,212-601-6414,nathan.fynn.morris@gmail.com,6 East Young Circle,,New York City,NY,10168,1
C00000086,Female,1989-07-20,20,7,1989,1989-07-20,30,414-33-2516,Anna,Scarlett,Mitchell,212-302-5046,anna.mitchell@gmail.com,9360 Bayport Ave.,,New York City,NY,10111,1
C00000087,Female,1966-11-17,17,11,1966,1966-11-17,53,145-42-2241,Paisley,Zoey,Roberts,112-422-3285,paisley.roberts@hotmail.com,673 East Ramblewood Street,,Philadelphia,PA,45190,72
C00000089,Female,1971-05-05,5,5,1971,1971-05-05,48,802-29-4364,Ariana,Addison,Carter,212-320-0620,ariana.carter@gmail.com,94 Chestnut Rd.,,New York City,NY,10175,1
C00000090,Male,1995-08-17,17,8,1995,1995-08-17,24,141-54-7729,Ryan,Jaron,Nguyen,917-017-6595,ryan.nguyen@gmail.com,921 Lake Forest Dr.,,New Haven,CT,42164,52
C00000091,Male,1960-08-07,7,8,1960,1960-08-07,59,530-30-1461,Jack,Kaius,Murphy,831-379-6638,jack.murphy@gmail.com,556 South Schoolhouse St.,,Norwalk,CT,40947,63
C00000092,Female,1986-06-12,12,6,1986,1986-06-12,33,790-98-9800,Ellie,Lily,Phillips,485-505-9594,ellie.phillips@outlook.com,40 Myers Lane,,Chicago,IL,47075,74
C00000093,Male,1945-02-16,16,2,1945,1945-02-16,74,350-92-7187,Hunter,Kyran,Rivera,388-389-6102,hunter.rivera@gmail.com,6 Theatre Street,,Columbus,OH,43964,3
C00000094,Male,1967-09-09,9,9,1967,1967-09-09,52,766-62-4458,Levi,Laken,Cook,933-101-0725,levi.cook@gmail.com,353 Birchpond Court,Unit 7,Wilmington,DE,44476,43
C00000095,Female,1972-08-03,3,8,1972,1972-08-03,47,744-82-5035,Aaliyah,Lillian,Evans,208-186-5708,aaliyah.evansw@gmail.com,6 Alderwood Ave.,,Wilmington,DE,43812,43
C00000096,Male,1992-02-29,29,2,1992,1992-02-29,27,848-45-1989,Christian,Monte,Rogers,708-773-3715,christian.rogers@gmail.com,12 Selby Street,,Chicago,IL,44520,74
C00000097,Male,1985-11-28,28,11,1985,1985-11-28,34,109-31-5533,Jaxon,Stephon,Morgan,348-250-2252,jaxon.morgan@gmail.com,9079 Bald Hill Drive,,Honolulu,HI,42423,26
C00000098,Female,1993-05-04,4,5,1993,1993-05-04,26,951-79-2346,Claire,Natalie,Turner,194-309-8767,claire.turner@outlook.com,86 Manchester Street,,Salt Lake City,UT,44715,33
C00000099,Male,1993-01-26,26,1,1993,1993-01-26,27,378-12-6869,Julian,Britton,Peterson,805-269-0051,julian.peterson@gmail.com,478 High Ridge Street,,Salt Lake City,UT,40996,33
C00000100,Female,1962-08-11,11,8,1962,1962-08-11,57,744-16-6873,Violet,Hannah,Torres,912-067-2706,violet.torres@gmail.com,626 Arlington Rd.,Unit 77,Portland,ME,47410,44
C00000101,Male,1963-01-23,23,1,1963,1963-01-23,57,110-19-8110,Landon,Estevan,Cooper,294-252-5352,landon.cooper3@gmail.com,221 Ashley Rd.,,Cranston,RI,47959,68
C00000102,Female,1978-09-10,10,9,1978,1978-09-10,41,710-90-1424,Stella,Aria,Parker,181-988-1584,stella.parker@gmail.com,238 Foxrun St.,,Chicago,IL,48791,74
C00000103,Male,1975-07-11,11,7,1975,1975-07-11,44,851-42-9875,Grayson,Johnnie,Reed,440-368-5820,grayson.reed45@gmail.com,745 Bellevue Lane,,Chicago,IL,42641,74
C00000105,Male,2000-05-26,26,5,2000,2000-05-26,19,407-34-0962,Jonathan,Jones,Bailey,255-585-1034,jonathan.jones.bailey66@gmail.com,50 Wild Rose Court,,Des Moines,IA,43442,31
C00000106,Female,1988-12-30,30,12,1988,1988-12-30,31,138-45-7585,Sadie,Layla,Collins,735-784-3483,sadie.collins6@gmail.com,28 Cypress St.,,Cranston,RI,48179,68
