order_id,account_id,bank_to,account_to,amount,k_symbol
29523,A00000076,MN,98325132,5208.0,Household Payment
29524,A00000077,ST,28454154,1709.0,Leasing Payment
29525,A00000078,WX,32111394,9039.0,Household Payment
29526,A00000079,CD,15471804,2788.0,Household Payment
29527,A00000080,IJ,85687774,2252.0,Household Payment
29528,A00000081,QR,18026441,1765.0,Household Payment
29529,A00000081,MN,28429049,62.0,
29530,A00000081,GH,62443947,229.0,Insurance Payment
29531,A00000083,AB,26468819,2210.0,Household Payment
29532,A00000083,EF,41590857,3940.0,
29533,A00000084,ST,33353132,1709.0,Leasing Payment
29534,A00000084,ST,18454540,12452.0,Household Payment
29535,A00000085,IJ,65366345,3831.0,Household Payment
29536,A00000085,OP,81823444,1792.0,Leasing Payment
29537,A00000086,WX,36292475,1002.0,Household Payment
29538,A00000086,MN,48764252,1160.0,
29541,A00000088,ST,72993069,2268.0,Household Payment
29542,A00000090,ST,68375611,2774.0,Household Payment
29543,A00000090,UV,90134667,2375.0,
29544,A00000090,MN,89044069,4372.0,Insurance Payment
29545,A00000090,YZ,2028567,361.0,
29554,A00000096,CD,62272125,4422.1,Leasing Payment
29555,A00000096,QR,83610647,908.0,Household Payment
29556,A00000096,WX,41707503,2140.0,
29557,A00000096,EF,49409562,46.0,Insurance Payment
29558,A00000096,EF,66311460,644.0,
29559,A00000097,ST,69820374,1436.0,Household Payment
29560,A00000097,CD,33796209,2411.0,
29561,A00000097,ST,83123987,3.0,Insurance Payment
29562,A00000097,CD,94469666,15.0,
29563,A00000097,MN,9693319,8573.0,Loan Payment
29564,A00000098,CD,94078754,1569.0,Household Payment
29565,A00000098,WX,95535426,749.0,Household Payment
29566,A00000099,CD,38411343,4503.0,Household Payment
29567,A00000099,EF,26847303,4682.0,
29568,A00000100,UV,6381905,598.0,Household Payment
29569,A00000100,GH,16341108,7329.0,
29570,A00000101,KL,10926431,8037.0,Household Payment
29571,A00000101,GH,26152324,855.0,
29572,A00000102,EF,24946403,7370.2,Loan Payment
29573,A00000102,KL,63927906,3373.0,Household Payment
29574,A00000102,UV,97521966,377.0,
29575,A00000103,MN,2646291,7370.2,Loan Payment
29576,A00000104,MN,82782172,578.0,Household Payment
29577,A00000104,ST,8965999,1464.0,
29578,A00000105,UV,58251345,7348.0,Loan Payment
29579,A00000106,WX,46916538,3735.0,Household Payment
29580,A00000107,IJ,67744958,2015.0,Household Payment
29581,A00000107,IJ,9999049,1580.0,
29582,A00000107,QR,80934089,959.0,Insurance Payment
29583,A00000108,CD,62673318,4803.0,Household Payment
29584,A00000110,OP,24390584,3050.0,Household Payment
29585,A00000110,YZ,18149984,98.0,
29586,A00000110,ST,14772266,4516.0,Loan Payment
29589,A00000112,AB,41812431,2051.0,Household Payment
29590,A00000113,GH,11191487,3146.0,Household Payment
29591,A00000114,QR,78667527,1590.0,Household Payment
29592,A00000114,MN,90660798,533.0,Household Payment
29593,A00000115,EF,51975733,5110.0,Household Payment
29594,A00000116,KL,99229424,5529.0,Household Payment
29595,A00000116,ST,16828024,927.0,Leasing Payment
29596,A00000117,CD,59419953,2329.0,Household Payment
29597,A00000118,IJ,51605445,2449.0,Household Payment
29598,A00000119,ST,21662587,8252.0,Household Payment
29599,A00000120,YZ,74934506,1899.0,Leasing Payment
29600,A00000120,ST,36501592,3965.0,Household Payment
29601,A00000121,YZ,81156724,794.0,Household Payment
29602,A00000121,UV,93935125,929.0,
29603,A00000121,MN,91729092,393.0,Insurance Payment
29604,A00000123,KL,97764080,3016.0,Household Payment
29605,A00000124,IJ,11366123,447.0,Household Payment
29606,A00000124,OP,51247948,575.0,
29607,A00000124,OP,34663748,971.0,Insurance Payment
29608,A00000125,IJ,14166999,4422.1,Leasing Payment
29609,A00000126,WX,62923598,7384.0,Household Payment
29610,A00000127,YZ,11707830,2242.0,Household Payment
29611,A00000129,IJ,69084489,3417.0,Household Payment
29612,A00000130,IJ,2152455,3969.0,Household Payment
29613,A00000131,UV,29374742,6904.0,Household Payment
29614,A00000132,WX,80542558,7370.2,Loan Payment
29615,A00000133,OP,90329002,3094.0,Leasing Payment
29616,A00000133,EF,45379865,4943.0,Household Payment
29617,A00000133,CD,30067122,5123.0,
29618,A00000136,MN,78733890,2932.0,Household Payment
29619,A00000137,GH,71138578,3464.0,Household Payment
29620,A00000137,UV,34738314,787.0,
29621,A00000141,KL,30588215,3016.5,Leasing Payment
29622,A00000141,KL,65986662,3462.0,Household Payment
29623,A00000141,WX,71174192,1791.0,
29624,A00000141,GH,86448645,6716.0,Insurance Payment
29625,A00000142,YZ,23734498,1845.0,Household Payment
29626,A00000143,YZ,81564402,2272.0,Household Payment
29627,A00000145,GH,81546359,4815.0,Household Payment
29628,A00000146,AB,76565843,3823.0,Household Payment
29631,A00000148,KL,29826498,487.0,Household Payment
29632,A00000148,GH,99004148,89.0,
29633,A00000148,QR,85938459,1736.0,Insurance Payment
29634,A00000151,QR,2754378,411.0,Household Payment
29635,A00000151,KL,77260404,2668.0,
29636,A00000152,OP,21928644,426.0,Household Payment
29637,A00000152,OP,16610890,2993.0,
29638,A00000153,UV,6886673,4544.0,Household Payment
29639,A00000154,MN,1314569,3891.0,Household Payment
29640,A00000155,KL,13971645,2988.0,Household Payment
29641,A00000156,QR,93965810,2030.0,Household Payment
29642,A00000157,AB,14697784,3991.0,Household Payment
29643,A00000158,ST,61129736,3420.0,Household Payment
29644,A00000159,GH,1882386,8694.0,Household Payment
29645,A00000160,QR,52787989,2374.0,Household Payment
29646,A00000160,ST,8854127,5552.0,
29647,A00000161,GH,17877823,1389.0,Household Payment
29648,A00000161,WX,62378322,892.0,Household Payment
29649,A00000162,GH,1325488,3458.0,Household Payment
29650,A00000163,UV,86180990,3116.0,Household Payment
29651,A00000163,IJ,8512616,612.0,Household Payment
29652,A00000165,OP,71082353,1788.0,Household Payment
29653,A00000166,QR,26919090,3044.0,Household Payment
29654,A00000168,WX,47454333,2013.0,Household Payment
29655,A00000169,IJ,71273207,4975.0,Household Payment
29656,A00000169,KL,15956706,696.0,Leasing Payment
29657,A00000171,UV,5356938,3486.0,Household Payment
29658,A00000172,OP,11598539,4221.0,Household Payment
29659,A00000173,KL,95605074,6256.0,Household Payment
29660,A00000173,KL,26238835,1428.0,
29661,A00000173,CD,85405385,735.0,Insurance Payment
29662,A00000173,CD,50065535,189.0,
29663,A00000173,UV,38819456,8734.0,Loan Payment
29664,A00000174,QR,73784321,2139.0,Household Payment
29667,A00000176,GH,53236597,2288.3,Loan Payment
29668,A00000176,AB,55640232,4564.0,Household Payment
29669,A00000176,OP,90734010,36.0,
29670,A00000176,QR,11736327,97.0,Insurance Payment
29671,A00000178,OP,16301811,1482.0,Household Payment
29672,A00000178,ST,1946038,505.0,
29673,A00000179,UV,16450244,7615.0,Household Payment
29674,A00000179,IJ,47684144,1066.0,
29675,A00000179,AB,11941713,378.0,Insurance Payment
29676,A00000179,OP,39081686,4608.0,
29677,A00000181,KL,66975450,6780.0,Household Payment
29678,A00000183,AB,5552345,5202.0,Household Payment
29679,A00000183,GH,85986530,752.0,
29680,A00000184,IJ,65986150,1623.0,Leasing Payment
29681,A00000185,IJ,14592427,6526.0,Household Payment
29682,A00000186,GH,83964973,6862.0,Household Payment
29683,A00000187,UV,39898049,2798.0,Household Payment
29952,A00000368,EF,27974027,742.0,
29953,A00000368,UV,35746020,269.0,Insurance Payment
29954,A00000368,YZ,33245110,217.0,
29955,A00000368,UV,35739392,1071.0,Leasing Payment
29959,A00000370,MN,39040500,215.0,Household Payment
29960,A00000370,EF,39893967,1188.0,
29961,A00000370,KL,57786190,672.0,Insurance Payment
29962,A00000372,ST,65089881,7785.0,Household Payment
29963,A00000372,MN,83496254,2148.0,
29964,A00000373,OP,55648291,6452.0,Household Payment
29965,A00000375,KL,32626718,3824.0,Household Payment
29966,A00000376,IJ,32540393,7097.0,Household Payment
29967,A00000378,MN,28203147,3840.2,Loan Payment
29968,A00000378,KL,6934583,8537.0,Household Payment
29969,A00000378,AB,85313254,1184.0,
29970,A00000378,ST,70710897,2.0,Insurance Payment
29971,A00000378,KL,23140502,4.0,
29972,A00000379,CD,35418421,1561.0,Household Payment
29973,A00000379,CD,30392295,434.0,
29974,A00000379,GH,42905002,177.0,Insurance Payment
29975,A00000379,IJ,80296814,312.0,
29979,A00000382,IJ,24703598,2235.0,Household Payment
29980,A00000382,OP,26432061,27.0,
29981,A00000382,MN,87132888,14.0,Insurance Payment
29982,A00000383,EF,90773456,2057.0,Household Payment
29983,A00000384,MN,48816210,2304.1,Leasing Payment
29984,A00000385,WX,28537345,2160.0,Household Payment
29985,A00000385,ST,91164779,31.0,
29986,A00000385,GH,79315310,121.0,Insurance Payment
29987,A00000386,CD,39887976,4711.0,Household Payment
29988,A00000388,CD,48455613,6524.0,Household Payment
29989,A00000389,KL,8779210,884.0,Household Payment
29990,A00000389,WX,25948596,3280.0,
29991,A00000390,YZ,24210876,4977.0,Household Payment
29992,A00000392,GH,99824958,1407.0,Household Payment
29993,A00000392,WX,27344715,5663.0,
29994,A00000393,AB,10808188,302.0,Household Payment
29995,A00000393,AB,27135431,5920.0,
30001,A00000395,YZ,55113202,3871.0,Household Payment
30002,A00000395,GH,73209607,4036.0,
30003,A00000395,WX,8607322,828.0,Leasing Payment
30004,A00000396,UV,71221321,5245.0,Household Payment
30005,A00000396,GH,26179212,68.0,
30006,A00000396,OP,57553499,308.0,Insurance Payment
30007,A00000396,YZ,33896279,261.0,
30008,A00000398,IJ,60894626,1702.0,Household Payment
30009,A00000399,GH,54855972,3090.5,Leasing Payment
30010,A00000399,IJ,47246265,6009.0,Household Payment
30011,A00000400,WX,99955695,6948.0,Household Payment
30012,A00000401,AB,66742342,3600.0,Household Payment
30013,A00000401,EF,88922524,1769.0,
30014,A00000402,YZ,77129357,2083.0,Household Payment
30015,A00000402,CD,98438930,2211.0,
30016,A00000403,KL,15987736,2401.0,Household Payment
30017,A00000404,GH,68393963,1563.0,Household Payment
30018,A00000404,WX,36616319,3450.0,
30019,A00000405,EF,24659914,1339.0,Leasing Payment
30020,A00000405,MN,56718403,9632.0,Household Payment
30021,A00000405,WX,11276412,1497.0,
30022,A00000405,KL,1622963,3579.0,Insurance Payment
30023,A00000406,UV,36316532,1800.0,Household Payment
30024,A00000406,KL,28461408,264.0,
30025,A00000407,WX,90311783,5411.0,Household Payment
30026,A00000407,EF,32662862,14.0,
30027,A00000408,QR,62073033,5042.0,Household Payment
30028,A00000409,QR,11262268,6810.0,Household Payment
30029,A00000410,WX,85225909,3825.0,Household Payment
30030,A00000411,QR,15704101,8499.0,Household Payment
30031,A00000412,WX,35379701,8727.0,Household Payment
30032,A00000413,CD,49738037,2107.0,Household Payment
30033,A00000414,AB,96403741,7870.0,Household Payment
30034,A00000415,OP,64789080,8740.0,Household Payment
30035,A00000416,ST,30481368,982.0,Household Payment
30036,A00000416,CD,54040610,987.0,Household Payment
30037,A00000418,MN,92404669,9316.0,Household Payment
30038,A00000420,KL,49270671,7192.0,Household Payment
30039,A00000421,YZ,94967096,5571.0,Household Payment
30040,A00000423,UV,78170078,1942.0,Household Payment
30041,A00000424,WX,64132481,4591.0,Household Payment
30042,A00000425,ST,21181220,2390.0,Household Payment
30043,A00000425,OP,54766887,806.0,
30044,A00000425,GH,30106497,64.0,Insurance Payment
30045,A00000426,MN,45444989,4201.2,Loan Payment
30046,A00000426,AB,9528249,7497.0,Household Payment
30047,A00000426,GH,34606760,886.0,
30048,A00000427,CD,43451237,8166.0,Household Payment
30049,A00000428,MN,64758032,3987.0,Household Payment
30050,A00000429,IJ,79427033,5286.0,Household Payment
30051,A00000431,GH,65853184,6482.0,Household Payment
30052,A00000431,KL,66201281,715.0,
30053,A00000434,WX,98904990,5666.0,Household Payment
30054,A00000434,ST,31071788,1637.0,
30055,A00000435,MN,75157016,3189.0,Household Payment
30056,A00000436,WX,36372977,4885.0,Household Payment
30057,A00000436,IJ,61715274,72.0,
30058,A00000436,CD,51325714,293.0,Insurance Payment
30059,A00000437,CD,83092337,2248.0,Household Payment
30060,A00000437,YZ,18505370,3106.0,
30061,A00000440,QR,84914481,5825.0,Household Payment
30062,A00000440,GH,78983664,1756.0,Loan Payment
30063,A00000441,OP,58999586,4473.0,Leasing Payment
30064,A00000441,YZ,91662942,3041.0,Household Payment
30065,A00000441,WX,11125362,765.0,
30066,A00000442,EF,55799275,7455.0,Loan Payment
30067,A00000442,CD,21739507,5606.0,Household Payment
30068,A00000442,ST,98938321,2068.0,
30069,A00000443,KL,39137601,1508.0,Household Payment
30070,A00000443,IJ,32109809,463.0,
30071,A00000443,QR,69234090,67.0,Insurance Payment
30072,A00000444,QR,53384882,4469.0,Household Payment
30073,A00000445,QR,65335863,3998.0,Household Payment
30074,A00000445,IJ,49652427,7567.0,
30075,A00000446,EF,81248056,6941.0,Household Payment
30076,A00000447,GH,35721868,5554.0,Household Payment
30077,A00000447,ST,99847948,554.0,Leasing Payment
30080,A00000449,AB,84388368,164.0,Household Payment
30081,A00000449,WX,77323555,1789.0,Household Payment
30082,A00000450,QR,70611452,2404.0,Household Payment
30083,A00000451,UV,62285023,7208.0,Loan Payment
30084,A00000452,OP,27081912,5058.0,Household Payment
30085,A00000452,OP,33601921,375.0,
30086,A00000453,QR,23475498,7012.0,Household Payment
30087,A00000454,GH,80305754,5687.0,Household Payment
30088,A00000455,ST,60398054,8339.0,Household Payment
30089,A00000456,WX,12626231,4783.1,Leasing Payment
30092,A00000458,AB,65390032,9586.0,Household Payment
30093,A00000458,CD,51641261,1031.0,Leasing Payment
30094,A00000460,MN,57986551,3554.0,Household Payment
30095,A00000461,OP,30994916,1530.0,Household Payment
30096,A00000462,ST,32409316,8325.0,Household Payment
30097,A00000463,QR,88697516,6385.0,Household Payment
30098,A00000464,UV,4756558,3509.0,Household Payment
30099,A00000465,ST,3081554,1278.5,Leasing Payment
30100,A00000465,IJ,59340989,11126.0,Household Payment
30101,A00000467,UV,90201395,3937.0,Household Payment
30102,A00000467,AB,73301529,2895.0,
30103,A00000468,AB,87048482,3735.0,Household Payment
30104,A00000468,YZ,30738526,499.0,
30105,A00000469,AB,32004195,2672.0,Household Payment
30106,A00000470,AB,41005563,3568.0,Household Payment
30107,A00000470,IJ,70524096,630.0,
30108,A00000470,OP,43083483,1078.0,Insurance Payment
30109,A00000471,ST,26110238,4695.0,Household Payment
30110,A00000471,CD,97181409,931.0,
30111,A00000471,CD,33731478,253.0,Insurance Payment
30112,A00000471,KL,45840859,202.0,
30113,A00000472,UV,6824928,8200.2,Loan Payment
30114,A00000473,GH,65049969,4237.0,Household Payment
30115,A00000473,KL,67095625,2640.0,
30116,A00000473,QR,76250731,75.0,Insurance Payment
30117,A00000473,YZ,22973603,333.0,
30118,A00000474,UV,33440119,694.0,Household Payment
30119,A00000474,OP,79647504,1606.0,
30120,A00000475,UV,33983725,2760.0,Household Payment
30121,A00000477,CD,7729125,2660.0,Household Payment
30122,A00000477,GH,40855217,254.0,
30123,A00000477,IJ,25759440,463.0,Insurance Payment
30124,A00000478,EF,9013551,8137.0,Household Payment
30125,A00000479,YZ,117046,2064.0,Household Payment
30126,A00000480,KL,12772888,4687.0,Household Payment
30127,A00000480,IJ,72983371,827.0,Leasing Payment
30128,A00000481,GH,50636059,64.0,Household Payment
30129,A00000481,IJ,29175484,1825.0,Household Payment
30134,A00000483,GH,70076584,1940.0,Household Payment
30135,A00000484,GH,19220835,1652.0,Household Payment
30136,A00000484,MN,16825324,1995.0,
30137,A00000484,GH,17417866,108.0,Insurance Payment
30138,A00000484,IJ,31340134,1412.0,
30139,A00000485,AB,58655077,2629.6,Leasing Payment
30140,A00000485,EF,89687889,7421.0,Household Payment
30141,A00000485,WX,56978738,1591.0,
30142,A00000485,AB,20747721,3572.0,Insurance Payment
30143,A00000487,GH,40831804,10684.0,Household Payment
30144,A00000489,ST,53826928,5608.0,Household Payment
30145,A00000490,UV,89067864,2042.0,Household Payment
30146,A00000491,EF,26434993,9090.0,Household Payment
30147,A00000494,EF,88363974,2629.6,Leasing Payment
30148,A00000494,GH,24389368,8728.0,Household Payment
30149,A00000494,ST,62039023,207.0,
30153,A00000496,IJ,60471528,3602.0,Household Payment
30154,A00000497,EF,31873262,3405.0,Household Payment
30157,A00000500,WX,67136871,2629.6,Leasing Payment
30158,A00000500,MN,57751679,3267.0,Household Payment
30159,A00000500,AB,1471186,539.0,
30160,A00000501,KL,79491948,4382.7,Loan Payment
30161,A00000502,ST,27518320,2498.0,Household Payment
30162,A00000503,QR,34156501,7175.0,Household Payment
30163,A00000503,GH,41920358,1746.0,Leasing Payment
30164,A00000504,UV,2230048,2308.0,Household Payment
30165,A00000505,QR,6899768,18.0,Household Payment
30166,A00000505,OP,5099285,2203.0,
30167,A00000506,GH,21071094,3011.0,Household Payment
30168,A00000506,QR,70163124,107.0,
30169,A00000506,IJ,18590253,278.0,Insurance Payment
30170,A00000506,IJ,82022094,724.0,
30171,A00000508,YZ,41786360,2480.0,Household Payment
30172,A00000509,IJ,50397551,6261.0,Loan Payment
30173,A00000510,YZ,34629786,2442.0,Household Payment
30174,A00000510,UV,64973693,1319.0,
30175,A00000510,GH,56986600,1043.0,Insurance Payment
30176,A00000511,MN,4644132,2629.6,Leasing Payment
30177,A00000512,GH,88834064,9449.0,Household Payment
30178,A00000513,EF,99257760,7908.0,Household Payment
30179,A00000514,KL,49346691,5760.0,Household Payment
30180,A00000515,CD,6447190,2750.0,Household Payment
30181,A00000516,CD,22182691,3736.0,Household Payment
30182,A00000517,UV,82919829,9255.0,Household Payment
30183,A00000518,GH,39075994,1338.0,Household Payment
30184,A00000518,MN,13886338,2015.0,Household Payment
30185,A00000519,AB,65870404,3245.0,Household Payment
30186,A00000520,MN,67366206,2332.0,Household Payment
30187,A00000521,IJ,98804980,4234.0,Household Payment
30188,A00000522,WX,31764650,77.0,Household Payment
30189,A00000522,GH,18812161,4930.0,
30190,A00000524,AB,71994364,5768.0,Household Payment
30191,A00000525,MN,88872944,4382.7,Loan Payment
30192,A00000525,ST,67853247,6454.0,Household Payment
30193,A00000526,MN,22128474,5074.0,Household Payment
30195,A00000528,IJ,11964172,2916.0,Household Payment
30196,A00000529,MN,85919022,3344.0,Household Payment
30197,A00000531,OP,48101,2144.0,Household Payment
30198,A00000533,EF,5924845,1319.0,Household Payment
30199,A00000533,IJ,31916600,3427.0,
30200,A00000534,KL,26713061,1747.0,Household Payment
30201,A00000534,KL,88319682,713.0,
30202,A00000534,OP,71464949,1341.0,Insurance Payment
30203,A00000535,OP,26501775,7021.0,Household Payment
30204,A00000535,UV,15932035,62.0,
30205,A00000535,MN,70218544,765.0,Insurance Payment
30206,A00000536,AB,84382724,1742.0,Household Payment
30207,A00000536,AB,56864386,827.0,Household Payment
30208,A00000537,ST,79339456,1848.0,Household Payment
30209,A00000538,OP,5225766,2692.0,Household Payment
30210,A00000541,IJ,97866481,3030.0,Household Payment
30211,A00000541,WX,97620743,72.0,
30212,A00000541,AB,50762343,5626.0,Insurance Payment
30213,A00000542,WX,82309841,2750.0,Household Payment
30214,A00000543,EF,10095620,647.0,Household Payment
30215,A00000543,QR,32736635,1086.0,
30216,A00000543,CD,41006070,655.0,Insurance Payment
30217,A00000544,EF,24082440,3798.2,Loan Payment
30218,A00000545,YZ,87724715,3306.0,Household Payment
30219,A00000546,YZ,87099098,2940.0,Household Payment
30220,A00000547,EF,48055100,2273.0,Household Payment
30221,A00000548,EF,87448715,1285.0,Household Payment
30222,A00000548,AB,56284767,528.0,Household Payment
30223,A00000549,OP,83005940,1067.0,Household Payment
30224,A00000549,CD,87506788,3024.0,
30225,A00000550,GH,71731483,1247.0,Household Payment
30226,A00000550,WX,49558728,349.0,Household Payment
30227,A00000552,AB,68878775,2097.0,Household Payment
30228,A00000555,ST,6209928,7218.0,Household Payment
30229,A00000555,YZ,19875437,479.0,
30230,A00000555,WX,3315794,71.0,Insurance Payment
30231,A00000557,MN,88362860,2050.0,Household Payment
30232,A00000558,CD,60158938,4081.0,Household Payment
30233,A00000558,WX,11205697,1476.0,
30234,A00000559,CD,77164244,2175.0,Household Payment
30235,A00000560,QR,17489135,5683.0,Household Payment
30236,A00000561,QR,37346130,343.0,Household Payment
30237,A00000561,WX,77749645,1308.0,Household Payment
30238,A00000563,QR,96173613,6245.0,Household Payment
30239,A00000564,YZ,8056086,295.0,Household Payment
30240,A00000564,IJ,56459259,8713.0,
30241,A00000565,KL,67758250,3509.0,Household Payment
30242,A00000568,CD,60686451,1408.0,Leasing Payment
30243,A00000569,YZ,87054288,2074.0,Household Payment
30244,A00000570,YZ,48868894,6273.0,Household Payment
30245,A00000571,EF,93711280,3255.0,Household Payment
30246,A00000572,WX,64459979,5372.0,Household Payment
30247,A00000572,EF,76923572,960.0,
30248,A00000572,QR,5563730,349.0,Insurance Payment
30249,A00000572,WX,71732580,1413.0,Leasing Payment
30250,A00000573,CD,80680703,2249.0,Leasing Payment
30251,A00000575,KL,32180041,756.0,Household Payment
30252,A00000575,GH,62339043,5329.0,
30253,A00000576,OP,71033382,3662.0,Household Payment
30254,A00000577,QR,92529356,5120.0,Household Payment
30255,A00000578,ST,9104431,5484.0,Household Payment
30256,A00000578,KL,6721955,601.0,
30257,A00000578,KL,88757896,17.0,Insurance Payment
30258,A00000578,CD,84361481,57.0,
30259,A00000579,OP,19994384,2771.0,Household Payment
30260,A00000579,CD,61798560,1065.0,
30261,A00000580,KL,18037027,3571.0,Household Payment
30262,A00000580,AB,27916240,1715.0,
30263,A00000581,KL,62047934,1502.0,Household Payment
30264,A00000582,KL,94775294,2812.0,Household Payment
30266,A00000584,MN,76447403,2302.0,Household Payment
30267,A00000588,AB,29001635,3141.0,Household Payment
30268,A00000588,MN,81579917,1437.0,
30269,A00000588,KL,40627336,511.0,Insurance Payment
30270,A00000589,GH,69257765,5746.0,Household Payment
30271,A00000591,WX,33145171,2788.0,Household Payment
30272,A00000592,WX,11703169,1148.0,Household Payment
30273,A00000592,MN,17637676,460.0,Household Payment
30274,A00000594,CD,76892024,2054.0,Household Payment
30275,A00000595,WX,22432470,4702.0,Household Payment
30276,A00000597,EF,43030637,6135.0,Household Payment
30277,A00000598,IJ,36825537,7781.0,Household Payment
