card_id,disp_id,type,year_,month_,day_,date_,fulldate
V00000699,D00004532,VISA Signature,2015,9,26,2015-09-26,2015-09-26
V00000342,D00002157,VISA Signature,2015,9,27,2015-09-27,2015-09-27
V00000713,D00004627,VISA Signature,2015,9,30,2015-09-30,2015-09-30
V00000118,D00000652,VISA Signature,2015,10,22,2015-10-22,2015-10-22
V00000783,D00005433,VISA Standard,2015,10,24,2015-10-24,2015-10-24
V00001103,D00011189,VISA Signature,2015,11,4,2015-11-04,2015-11-04
V00000504,D00003230,VISA Standard,2015,11,6,2015-11-06,2015-11-06
V00000261,D00001629,VISA Infinite,2015,11,9,2015-11-09,2015-11-09
V00000296,D00001876,VISA Infinite,2015,11,13,2015-11-13,2015-11-13
V00000113,D00000629,VISA Standard,2015,11,16,2015-11-16,2015-11-16
V00000092,D00000508,VISA Signature,2015,11,20,2015-11-20,2015-11-20
V00001225,D00013268,VISA Signature,2015,11,22,2015-11-22,2015-11-22
V00000393,D00002498,VISA Standard,2015,12,3,2015-12-03,2015-12-03
V00000695,D00004507,VISA Signature,2015,12,15,2015-12-15,2015-12-15
V00000666,D00004328,VISA Standard,2015,12,25,2015-12-25,2015-12-25
V00000462,D00002978,VISA Signature,2015,12,30,2015-12-30,2015-12-30
V00000085,D00000489,VISA Signature,2015,12,31,2015-12-31,2015-12-31
V00000337,D00002141,VISA Signature,2016,1,1,2016-01-01,2016-01-01
V00000771,D00005233,VISA Signature,2016,1,8,2016-01-08,2016-01-08
V00000379,D00002431,VISA Signature,2016,1,12,2016-01-12,2016-01-12
V00000106,D00000592,VISA Signature,2016,1,14,2016-01-14,2016-01-14
V00000606,D00003883,VISA Signature,2016,1,22,2016-01-22,2016-01-22
V00000427,D00002688,VISA Infinite,2016,1,25,2016-01-25,2016-01-25
V00000202,D00001228,VISA Signature,2016,2,4,2016-02-04,2016-02-04
V00000814,D00005911,VISA Signature,2016,2,15,2016-02-15,2016-02-15
V00001064,D00010328,VISA Signature,2016,2,17,2016-02-17,2016-02-17
V00000014,D00000112,VISA Signature,2016,2,17,2016-02-17,2016-02-17
V00000423,D00002657,VISA Signature,2016,2,19,2016-02-19,2016-02-19
V00000989,D00009119,VISA Signature,2016,2,21,2016-02-21,2016-02-21
V00000364,D00002329,VISA Signature,2016,2,29,2016-02-29,2016-02-29
V00000267,D00001691,VISA Standard,2016,3,9,2016-03-09,2016-03-09
V00000621,D00003970,VISA Standard,2016,3,19,2016-03-19,2016-03-19
V00001139,D00011836,VISA Standard,2016,3,26,2016-03-26,2016-03-26
V00000725,D00004715,VISA Standard,2016,3,30,2016-03-30,2016-03-30
V00000150,D00000859,VISA Signature,2016,3,30,2016-03-30,2016-03-30
V00000302,D00001900,VISA Signature,2016,3,31,2016-03-31,2016-03-31
V00000372,D00002395,VISA Signature,2016,3,31,2016-03-31,2016-03-31
V00000499,D00003187,VISA Signature,2016,4,3,2016-04-03,2016-04-03
V00000229,D00001384,VISA Signature,2016,4,5,2016-04-05,2016-04-05
V00000289,D00001831,VISA Standard,2016,4,8,2016-04-08,2016-04-08
V00001100,D00011101,VISA Standard,2016,4,10,2016-04-10,2016-04-10
V00000037,D00000238,VISA Signature,2016,4,20,2016-04-20,2016-04-20
V00000286,D00001812,VISA Infinite,2016,4,21,2016-04-21,2016-04-21
V00000157,D00000907,VISA Signature,2016,4,24,2016-04-24,2016-04-24
V00000216,D00001310,VISA Standard,2016,4,24,2016-04-24,2016-04-24
V00000977,D00008968,VISA Signature,2016,5,8,2016-05-08,2016-05-08
V00000183,D00001080,VISA Signature,2016,5,8,2016-05-08,2016-05-08
V00000945,D00008342,VISA Standard,2016,5,9,2016-05-09,2016-05-09
V00000044,D00000268,VISA Standard,2016,5,17,2016-05-17,2016-05-17
V00000600,D00003829,VISA Signature,2016,5,20,2016-05-20,2016-05-20
V00000127,D00000714,VISA Signature,2016,5,23,2016-05-23,2016-05-23
V00000764,D00005159,VISA Signature,2016,5,29,2016-05-29,2016-05-29
V00000204,D00001239,VISA Standard,2016,5,30,2016-05-30,2016-05-30
V00001134,D00011742,VISA Signature,2016,5,31,2016-05-31,2016-05-31
V00000312,D00001971,VISA Signature,2016,6,8,2016-06-08,2016-06-08
V00000313,D00001980,VISA Signature,2016,6,17,2016-06-17,2016-06-17
V00000641,D00004116,VISA Signature,2016,6,18,2016-06-18,2016-06-18
V00000731,D00004751,VISA Signature,2016,6,23,2016-06-23,2016-06-23
V00000084,D00000487,VISA Signature,2016,6,26,2016-06-26,2016-06-26
V00000265,D00001680,VISA Signature,2016,6,28,2016-06-28,2016-06-28
V00001176,D00012502,VISA Infinite,2016,7,3,2016-07-03,2016-07-03
V00001233,D00013382,VISA Signature,2016,7,6,2016-07-06,2016-07-06
V00000407,D00002555,VISA Signature,2016,7,11,2016-07-11,2016-07-11
V00000320,D00002045,VISA Signature,2016,7,11,2016-07-11,2016-07-11
V00001187,D00012635,VISA Infinite,2016,7,17,2016-07-17,2016-07-17
V00000121,D00000666,VISA Standard,2016,7,22,2016-07-22,2016-07-22
V00001055,D00010171,VISA Signature,2016,7,24,2016-07-24,2016-07-24
V00000303,D00001912,VISA Signature,2016,8,1,2016-08-01,2016-08-01
V00000651,D00004201,VISA Standard,2016,8,2,2016-08-02,2016-08-02
V00000736,D00004789,VISA Signature,2016,8,3,2016-08-03,2016-08-03
V00000024,D00000153,VISA Standard,2016,8,5,2016-08-05,2016-08-05
V00000587,D00003763,VISA Standard,2016,8,5,2016-08-05,2016-08-05
V00000119,D00000655,VISA Signature,2016,8,8,2016-08-08,2016-08-08
V00000670,D00004343,VISA Signature,2016,8,8,2016-08-08,2016-08-08
V00000227,D00001380,VISA Signature,2016,8,10,2016-08-10,2016-08-10
V00001164,D00012269,VISA Signature,2016,8,12,2016-08-12,2016-08-12
V00001043,D00009974,VISA Standard,2016,8,14,2016-08-14,2016-08-14
V00000278,D00001779,VISA Signature,2016,8,15,2016-08-15,2016-08-15
V00000103,D00000584,VISA Standard,2016,8,17,2016-08-17,2016-08-17
V00000673,D00004353,VISA Standard,2016,8,31,2016-08-31,2016-08-31
V00000038,D00000242,VISA Signature,2016,8,31,2016-08-31,2016-08-31
V00000470,D00003036,VISA Signature,2016,9,2,2016-09-02,2016-09-02
V00000890,D00007422,VISA Signature,2016,9,8,2016-09-08,2016-09-08
V00000514,D00003267,VISA Signature,2016,9,10,2016-09-10,2016-09-10
V00000741,D00004832,VISA Signature,2016,9,11,2016-09-11,2016-09-11
V00000882,D00007195,VISA Signature,2016,9,11,2016-09-11,2016-09-11
V00000012,D00000083,VISA Standard,2016,9,11,2016-09-11,2016-09-11
V00000152,D00000876,VISA Signature,2016,9,16,2016-09-16,2016-09-16
V00000163,D00000984,VISA Signature,2016,9,18,2016-09-18,2016-09-18
V00000708,D00004568,VISA Standard,2016,9,24,2016-09-24,2016-09-24
V00001087,D00010887,VISA Signature,2016,10,6,2016-10-06,2016-10-06
V00000854,D00006753,VISA Signature,2016,10,7,2016-10-07,2016-10-07
V00000601,D00003830,VISA Signature,2016,10,8,2016-10-08,2016-10-08
V00000099,D00000548,VISA Infinite,2016,10,9,2016-10-09,2016-10-09
V00000547,D00003477,VISA Signature,2016,10,11,2016-10-11,2016-10-11
V00000040,D00000255,VISA Signature,2016,10,13,2016-10-13,2016-10-13
V00000220,D00001333,VISA Signature,2016,10,13,2016-10-13,2016-10-13
V00000390,D00002490,VISA Signature,2016,10,14,2016-10-14,2016-10-14
V00000776,D00005263,VISA Signature,2016,10,19,2016-10-19,2016-10-19
V00000197,D00001202,VISA Standard,2016,10,21,2016-10-21,2016-10-21
V00000516,D00003279,VISA Signature,2016,10,25,2016-10-25,2016-10-25
V00000381,D00002440,VISA Signature,2016,10,27,2016-10-27,2016-10-27
V00001010,D00009413,VISA Signature,2016,10,27,2016-10-27,2016-10-27
V00000813,D00005873,VISA Standard,2016,10,28,2016-10-28,2016-10-28
V00000272,D00001754,VISA Standard,2016,10,28,2016-10-28,2016-10-28
V00000772,D00005243,VISA Signature,2016,10,30,2016-10-30,2016-10-30
V00000528,D00003356,VISA Signature,2016,10,31,2016-10-31,2016-10-31
V00001014,D00009452,VISA Signature,2016,11,2,2016-11-02,2016-11-02
V00000087,D00000493,VISA Signature,2016,11,2,2016-11-02,2016-11-02
V00000088,D00000496,VISA Signature,2016,11,4,2016-11-04,2016-11-04
V00000441,D00002785,VISA Signature,2016,11,5,2016-11-05,2016-11-05
V00000562,D00003583,VISA Signature,2016,11,7,2016-11-07,2016-11-07
V00000690,D00004479,VISA Signature,2016,11,7,2016-11-07,2016-11-07
V00000374,D00002423,VISA Signature,2016,11,8,2016-11-08,2016-11-08
V00000057,D00000347,VISA Signature,2016,11,9,2016-11-09,2016-11-09
V00000722,D00004684,VISA Signature,2016,11,14,2016-11-14,2016-11-14
V00000300,D00001890,VISA Signature,2016,11,20,2016-11-20,2016-11-20
V00000117,D00000649,VISA Standard,2016,11,23,2016-11-23,2016-11-23
V00000541,D00003427,VISA Standard,2016,11,26,2016-11-26,2016-11-26
V00000294,D00001861,VISA Signature,2016,12,4,2016-12-04,2016-12-04
V00000010,D00000077,VISA Signature,2016,12,7,2016-12-07,2016-12-07
V00000710,D00004588,VISA Standard,2016,12,10,2016-12-10,2016-12-10
V00000408,D00002560,VISA Signature,2016,12,10,2016-12-10,2016-12-10
V00000363,D00002324,VISA Standard,2016,12,11,2016-12-11,2016-12-11
V00000697,D00004518,VISA Signature,2016,12,11,2016-12-11,2016-12-11
V00000433,D00002724,VISA Signature,2016,12,12,2016-12-12,2016-12-12
V00000642,D00004137,VISA Signature,2016,12,13,2016-12-13,2016-12-13
V00000243,D00001478,VISA Signature,2016,12,13,2016-12-13,2016-12-13
V00000162,D00000967,VISA Standard,2016,12,23,2016-12-23,2016-12-23
V00000594,D00003794,VISA Standard,2016,12,27,2016-12-27,2016-12-27
V00000609,D00003893,VISA Signature,2016,12,29,2016-12-29,2016-12-29
V00001111,D00011288,VISA Signature,2016,12,31,2016-12-31,2016-12-31
V00000786,D00005478,VISA Signature,2016,12,31,2016-12-31,2016-12-31
V00001118,D00011393,VISA Signature,2017,1,2,2017-01-02,2017-01-02
V00000175,D00001040,VISA Signature,2017,1,3,2017-01-03,2017-01-03
V00000565,D00003601,VISA Infinite,2017,1,6,2017-01-06,2017-01-06
V00000714,D00004638,VISA Signature,2017,1,9,2017-01-09,2017-01-09
V00000137,D00000786,VISA Standard,2017,1,10,2017-01-10,2017-01-10
V00000022,D00000138,VISA Signature,2017,1,11,2017-01-11,2017-01-11
V00000325,D00002102,VISA Signature,2017,1,12,2017-01-12,2017-01-12
V00000194,D00001182,VISA Signature,2017,1,13,2017-01-13,2017-01-13
V00000668,D00004340,VISA Signature,2017,1,14,2017-01-14,2017-01-14
V00000706,D00004559,VISA Infinite,2017,1,16,2017-01-16,2017-01-16
V00000850,D00006644,VISA Signature,2017,1,16,2017-01-16,2017-01-16
V00000298,D00001885,VISA Signature,2017,1,17,2017-01-17,2017-01-17
V00000105,D00000590,VISA Signature,2017,1,17,2017-01-17,2017-01-17
V00001036,D00009735,VISA Signature,2017,1,17,2017-01-17,2017-01-17
V00000292,D00001842,VISA Infinite,2017,1,18,2017-01-18,2017-01-18
V00000112,D00000626,VISA Standard,2017,1,19,2017-01-19,2017-01-19
V00000678,D00004405,VISA Infinite,2017,1,20,2017-01-20,2017-01-20
V00001093,D00011011,VISA Signature,2017,1,20,2017-01-20,2017-01-20
V00000681,D00004426,VISA Signature,2017,1,22,2017-01-22,2017-01-22
V00000582,D00003733,VISA Signature,2017,1,22,2017-01-22,2017-01-22
V00000729,D00004740,VISA Standard,2017,1,22,2017-01-22,2017-01-22
V00000054,D00000334,VISA Signature,2017,1,24,2017-01-24,2017-01-24
V00000258,D00001607,VISA Signature,2017,1,26,2017-01-26,2017-01-26
V00000534,D00003387,VISA Signature,2017,1,29,2017-01-29,2017-01-29
V00000667,D00004333,VISA Signature,2017,1,31,2017-01-31,2017-01-31
V00000195,D00001194,VISA Signature,2017,2,3,2017-02-03,2017-02-03
V00000199,D00001213,VISA Signature,2017,2,7,2017-02-07,2017-02-07
V00000490,D00003136,VISA Infinite,2017,2,7,2017-02-07,2017-02-07
V00000347,D00002184,VISA Signature,2017,2,11,2017-02-11,2017-02-11
V00000210,D00001253,VISA Signature,2017,2,16,2017-02-16,2017-02-16
V00000293,D00001850,VISA Signature,2017,2,17,2017-02-17,2017-02-17
V00000189,D00001157,VISA Signature,2017,2,19,2017-02-19,2017-02-19
V00000324,D00002074,VISA Signature,2017,2,19,2017-02-19,2017-02-19
V00000578,D00003689,VISA Standard,2017,2,21,2017-02-21,2017-02-21
V00000266,D00001690,VISA Signature,2017,3,4,2017-03-04,2017-03-04
V00000568,D00003615,VISA Signature,2017,3,5,2017-03-05,2017-03-05
V00000171,D00001027,VISA Signature,2017,3,5,2017-03-05,2017-03-05
V00000679,D00004416,VISA Signature,2017,3,6,2017-03-06,2017-03-06
V00000841,D00006468,VISA Signature,2017,3,6,2017-03-06,2017-03-06
V00000513,D00003260,VISA Signature,2017,3,15,2017-03-15,2017-03-15
V00000647,D00004171,VISA Standard,2017,3,21,2017-03-21,2017-03-21
V00000665,D00004318,VISA Signature,2017,3,24,2017-03-24,2017-03-24
V00000400,D00002529,VISA Signature,2017,4,6,2017-04-06,2017-04-06
V00000617,D00003944,VISA Infinite,2017,4,9,2017-04-09,2017-04-09
V00000709,D00004587,VISA Standard,2017,4,11,2017-04-11,2017-04-11
V00000387,D00002481,VISA Signature,2017,4,18,2017-04-18,2017-04-18
V00000226,D00001378,VISA Signature,2017,4,18,2017-04-18,2017-04-18
V00000350,D00002226,VISA Signature,2017,4,20,2017-04-20,2017-04-20
V00000539,D00003415,VISA Signature,2017,4,23,2017-04-23,2017-04-23
V00000583,D00003735,VISA Signature,2017,4,24,2017-04-24,2017-04-24
V00000576,D00003671,VISA Signature,2017,4,30,2017-04-30,2017-04-30
V00000232,D00001396,VISA Signature,2017,5,1,2017-05-01,2017-05-01
V00000730,D00004749,VISA Signature,2017,5,2,2017-05-02,2017-05-02
V00000616,D00003943,VISA Signature,2017,5,5,2017-05-05,2017-05-05
V00000564,D00003590,VISA Signature,2017,5,6,2017-05-06,2017-05-06
V00000082,D00000474,VISA Signature,2017,5,7,2017-05-07,2017-05-07
V00001173,D00012442,VISA Signature,2017,5,8,2017-05-08,2017-05-08
V00000426,D00002686,VISA Signature,2017,5,9,2017-05-09,2017-05-09
V00000791,D00005521,VISA Signature,2017,5,12,2017-05-12,2017-05-12
V00000572,D00003636,VISA Standard,2017,5,16,2017-05-16,2017-05-16
V00000375,D00002425,VISA Standard,2017,5,17,2017-05-17,2017-05-17
V00000069,D00000438,VISA Signature,2017,5,17,2017-05-17,2017-05-17
V00000607,D00003885,VISA Signature,2017,5,17,2017-05-17,2017-05-17
V00000155,D00000900,VISA Standard,2017,5,17,2017-05-17,2017-05-17
V00000275,D00001762,VISA Signature,2017,5,20,2017-05-20,2017-05-20
V00000847,D00006610,VISA Signature,2017,5,20,2017-05-20,2017-05-20
V00000399,D00002527,VISA Signature,2017,5,22,2017-05-22,2017-05-22
V00000305,D00001914,VISA Signature,2017,5,23,2017-05-23,2017-05-23
V00000430,D00002713,VISA Signature,2017,5,26,2017-05-26,2017-05-26
V00000349,D00002214,VISA Signature,2017,5,26,2017-05-26,2017-05-26
V00000256,D00001583,VISA Signature,2017,5,26,2017-05-26,2017-05-26
V00000050,D00000309,VISA Signature,2017,5,28,2017-05-28,2017-05-28
V00000939,D00008217,VISA Standard,2017,5,29,2017-05-29,2017-05-29
V00000110,D00000608,VISA Signature,2017,5,31,2017-05-31,2017-05-31
V00000184,D00001089,VISA Infinite,2017,6,3,2017-06-03,2017-06-03
V00000090,D00000503,VISA Signature,2017,6,4,2017-06-04,2017-06-04
V00000597,D00003813,VISA Standard,2017,6,6,2017-06-06,2017-06-06
V00000471,D00003037,VISA Signature,2017,6,9,2017-06-09,2017-06-09
V00000494,D00003173,VISA Signature,2017,6,10,2017-06-10,2017-06-10
V00000211,D00001271,VISA Signature,2017,6,10,2017-06-10,2017-06-10
V00000353,D00002259,VISA Signature,2017,6,11,2017-06-11,2017-06-11
V00000213,D00001289,VISA Infinite,2017,6,11,2017-06-11,2017-06-11
V00001009,D00009409,VISA Infinite,2017,6,14,2017-06-14,2017-06-14
V00000297,D00001883,VISA Signature,2017,6,15,2017-06-15,2017-06-15
V00000801,D00005684,VISA Signature,2017,6,15,2017-06-15,2017-06-15
V00000748,D00004923,VISA Signature,2017,6,16,2017-06-16,2017-06-16
V00000133,D00000742,VISA Signature,2017,6,16,2017-06-16,2017-06-16
V00000316,D00002013,VISA Signature,2017,6,17,2017-06-17,2017-06-17
V00000145,D00000819,VISA Signature,2017,6,17,2017-06-17,2017-06-17
V00000270,D00001736,VISA Standard,2017,6,17,2017-06-17,2017-06-17
V00001178,D00012542,VISA Signature,2017,6,19,2017-06-19,2017-06-19
V00000222,D00001345,VISA Signature,2017,6,19,2017-06-19,2017-06-19
V00000241,D00001461,VISA Signature,2017,6,20,2017-06-20,2017-06-20
V00000280,D00001793,VISA Signature,2017,6,22,2017-06-22,2017-06-22
V00000675,D00004376,VISA Signature,2017,6,23,2017-06-23,2017-06-23
V00000108,D00000597,VISA Signature,2017,6,25,2017-06-25,2017-06-25
V00001196,D00012805,VISA Signature,2017,6,27,2017-06-27,2017-06-27
V00000287,D00001819,VISA Standard,2017,6,28,2017-06-28,2017-06-28
V00000443,D00002808,VISA Signature,2017,6,29,2017-06-29,2017-06-29
V00001138,D00011825,VISA Signature,2017,6,29,2017-06-29,2017-06-29
V00000733,D00004764,VISA Standard,2017,6,30,2017-06-30,2017-06-30
V00000311,D00001954,VISA Signature,2017,7,1,2017-07-01,2017-07-01
V00000120,D00000662,VISA Signature,2017,7,3,2017-07-03,2017-07-03
V00000122,D00000667,VISA Standard,2017,7,3,2017-07-03,2017-07-03
V00000476,D00003079,VISA Signature,2017,7,6,2017-07-06,2017-07-06
V00000781,D00005366,VISA Signature,2017,7,7,2017-07-07,2017-07-07
V00000588,D00003765,VISA Signature,2017,7,8,2017-07-08,2017-07-08
V00000403,D00002538,VISA Standard,2017,7,12,2017-07-12,2017-07-12
V00000139,D00000797,VISA Signature,2017,7,14,2017-07-14,2017-07-14
V00000553,D00003522,VISA Signature,2017,7,14,2017-07-14,2017-07-14
V00000625,D00003987,VISA Signature,2017,7,17,2017-07-17,2017-07-17
V00000413,D00002592,VISA Standard,2017,7,20,2017-07-20,2017-07-20
V00000591,D00003779,VISA Signature,2017,7,23,2017-07-23,2017-07-23
V00000694,D00004504,VISA Signature,2017,7,24,2017-07-24,2017-07-24
V00000512,D00003259,VISA Signature,2017,7,24,2017-07-24,2017-07-24
V00001095,D00011023,VISA Infinite,2017,7,28,2017-07-28,2017-07-28
V00001059,D00010235,VISA Signature,2017,7,29,2017-07-29,2017-07-29
V00000075,D00000457,VISA Signature,2017,7,29,2017-07-29,2017-07-29
V00000383,D00002469,VISA Signature,2017,7,30,2017-07-30,2017-07-30
V00000115,D00000638,VISA Signature,2017,7,30,2017-07-30,2017-07-30
V00000884,D00007286,VISA Infinite,2017,7,31,2017-07-31,2017-07-31
V00000454,D00002921,VISA Signature,2017,8,1,2017-08-01,2017-08-01
V00000688,D00004472,VISA Signature,2017,8,1,2017-08-01,2017-08-01
V00000936,D00008030,VISA Signature,2017,8,2,2017-08-02,2017-08-02
V00000663,D00004295,VISA Signature,2017,8,6,2017-08-06,2017-08-06
V00000637,D00004094,VISA Standard,2017,8,6,2017-08-06,2017-08-06
V00000511,D00003257,VISA Standard,2017,8,6,2017-08-06,2017-08-06
V00001220,D00013160,VISA Signature,2017,8,8,2017-08-08,2017-08-08
V00000628,D00004007,VISA Signature,2017,8,11,2017-08-11,2017-08-11
V00000718,D00004660,VISA Signature,2017,8,12,2017-08-12,2017-08-12
V00000238,D00001452,VISA Infinite,2017,8,17,2017-08-17,2017-08-17
V00000546,D00003465,VISA Infinite,2017,8,19,2017-08-19,2017-08-19
V00000660,D00004265,VISA Standard,2017,8,19,2017-08-19,2017-08-19
V00000491,D00003151,VISA Signature,2017,8,21,2017-08-21,2017-08-21
V00000140,D00000798,VISA Signature,2017,8,22,2017-08-22,2017-08-22
V00000502,D00003201,VISA Signature,2017,8,22,2017-08-22,2017-08-22
V00000598,D00003821,VISA Signature,2017,8,23,2017-08-23,2017-08-23
V00000355,D00002267,VISA Signature,2017,8,28,2017-08-28,2017-08-28
V00000043,D00000267,VISA Signature,2017,8,29,2017-08-29,2017-08-29
V00000610,D00003894,VISA Signature,2017,8,29,2017-08-29,2017-08-29
V00000182,D00001067,VISA Infinite,2017,8,31,2017-08-31,2017-08-31
V00000041,D00000256,VISA Signature,2017,8,31,2017-08-31,2017-08-31
V00000091,D00000504,VISA Standard,2017,9,1,2017-09-01,2017-09-01
V00000252,D00001529,VISA Signature,2017,9,2,2017-09-02,2017-09-02
V00000495,D00003181,VISA Signature,2017,9,2,2017-09-02,2017-09-02
V00000259,D00001610,VISA Signature,2017,9,5,2017-09-05,2017-09-05
V00000187,D00001140,VISA Signature,2017,9,7,2017-09-07,2017-09-07
V00000185,D00001098,VISA Signature,2017,9,7,2017-09-07,2017-09-07
V00001025,D00009625,VISA Signature,2017,9,8,2017-09-08,2017-09-08
V00000019,D00000130,VISA Signature,2017,9,9,2017-09-09,2017-09-09
V00000431,D00002715,VISA Infinite,2017,9,12,2017-09-12,2017-09-12
V00000356,D00002268,VISA Signature,2017,9,13,2017-09-13,2017-09-13
V00000767,D00005204,VISA Signature,2017,9,14,2017-09-14,2017-09-14
V00000537,D00003405,VISA Signature,2017,9,15,2017-09-15,2017-09-15
V00000703,D00004546,VISA Signature,2017,9,17,2017-09-17,2017-09-17
V00000671,D00004345,VISA Signature,2017,9,17,2017-09-17,2017-09-17
V00000896,D00007567,VISA Signature,2017,9,18,2017-09-18,2017-09-18
V00000343,D00002164,VISA Signature,2017,9,21,2017-09-21,2017-09-21
V00000279,D00001791,VISA Signature,2017,9,21,2017-09-21,2017-09-21
V00000622,D00003981,VISA Standard,2017,9,22,2017-09-22,2017-09-22
V00000612,D00003906,VISA Signature,2017,9,22,2017-09-22,2017-09-22
V00000206,D00001243,VISA Signature,2017,9,22,2017-09-22,2017-09-22
V00000190,D00001165,VISA Signature,2017,9,23,2017-09-23,2017-09-23
V00001203,D00012893,VISA Signature,2017,9,26,2017-09-26,2017-09-26
V00000234,D00001424,VISA Signature,2017,9,29,2017-09-29,2017-09-29
